time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	4.556663	505.965973	0.238577	0.507642	384.467590	0.225305
0.010000	4.515758	506.306915	0.238400	0.583120	384.678131	0.225317
0.020000	4.477005	506.804932	0.238325	0.476806	384.855743	0.225265
0.030000	4.337065	506.785889	0.238229	0.357144	384.844391	0.225179
0.040000	4.265480	507.295441	0.238174	0.300075	385.092102	0.225140
0.050000	4.367206	506.586334	0.237993	0.407770	384.456177	0.225016
0.060000	4.050726	507.554749	0.238013	0.102173	385.074097	0.224973
0.070000	4.340833	506.900299	0.237898	0.271540	384.405914	0.224876
0.080000	4.224575	506.824127	0.237816	0.216772	384.563110	0.224929
0.090000	4.265480	506.498749	0.237764	0.275222	384.497040	0.224825
0.100000	4.257407	506.329834	0.237638	0.270159	384.569550	0.224845
0.110000	4.190128	506.431427	0.237651	0.355763	385.047394	0.224831
0.120000	4.515220	505.827759	0.237597	0.488312	384.392670	0.224736
0.130000	4.278936	506.610931	0.237612	0.282125	385.224945	0.224795
0.140000	4.530828	506.015625	0.237522	0.492914	384.748871	0.224673
0.150000	4.384968	506.470367	0.237485	0.296393	384.950287	0.224643
0.160000	4.508761	506.422485	0.237437	0.303757	384.950317	0.224628
0.170000	4.439329	506.597260	0.237388	0.298694	385.142578	0.224536
0.180000	4.304233	506.728302	0.237363	0.081922	385.180054	0.224458
0.190000	4.525446	506.209991	0.237322	0.246227	384.651062	0.224407
0.200000	4.157834	506.976257	0.237283	0.099411	385.130890	0.224447
0.210000	4.318765	506.470795	0.237178	0.187317	384.329712	0.224359
0.220000	4.313383	506.692200	0.237226	0.166606	384.458649	0.224326
0.230000	4.382815	506.872528	0.237196	0.283046	384.102997	0.224295
0.240000	4.229419	507.204254	0.237179	0.109997	384.144196	0.224285
0.250000	4.320918	507.450989	0.237271	0.135770	384.216888	0.224341
0.260000	4.499073	507.096771	0.237286	0.329530	383.808136	0.224334
0.270000	4.223498	508.102936	0.237381	-0.025313	384.487946	0.224368
0.280000	4.391965	507.623261	0.237345	0.223675	384.044952	0.224470
0.290000	4.333836	508.175385	0.237414	0.241624	384.401428	0.224558
0.300000	4.315536	508.021759	0.237442	0.279364	384.426270	0.224675
0.310000	4.231033	508.466034	0.237576	0.381537	385.162048	0.224896
0.320000	4.247180	508.391876	0.237626	0.433083	385.226349	0.225064
0.330000	4.409726	507.894470	0.237660	0.625462	384.744568	0.225181
0.340000	4.209504	508.442230	0.237888	0.365428	385.305542	0.225361
0.350000	4.399500	507.505127	0.237897	0.580359	384.549103	0.225429
0.360000	4.354827	507.401520	0.237993	0.546302	384.665039	0.225485
0.370000	4.598107	506.790741	0.238048	0.526051	384.183868	0.225563
0.380000	4.384968	506.920563	0.238151	0.378315	384.494263	0.225670
0.390000	4.260098	506.556366	0.238101	0.461618	384.217743	0.225697
0.400000	4.522217	506.042175	0.238170	0.602450	383.738068	0.225775
0.410000	4.137920	506.503540	0.238204	0.481408	384.245575	0.225869
0.420000	4.299927	506.105316	0.238228	0.638349	383.705048	0.225855
0.430000	4.248795	506.514130	0.238279	0.541239	384.236176	0.225984
0.440000	4.315536	506.453796	0.238327	0.751567	384.134949	0.225963
0.450000	4.081944	507.489960	0.238334	0.558268	384.790344	0.226055
0.460000	4.259022	507.848755	0.238415	0.674247	384.842957	0.226115
0.470000	4.415109	508.106750	0.238447	0.842234	384.731018	0.226185
0.480000	4.090017	508.938873	0.238512	0.641110	385.223206	0.226366
0.490000	4.440944	508.810577	0.238654	0.854660	384.913910	0.226408
0.500000	4.342447	509.185272	0.238750	0.784244	385.099792	0.226622
0.510000	4.550743	508.638916	0.238826	0.906667	384.522858	0.226632
