time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	1.405345	326.659071	0.226840	-2.031823	368.824248	0.233449
0.010000	1.386516	326.274040	0.226835	-1.935144	368.066887	0.233143
0.020000	1.374570	325.968352	0.226820	-1.868583	367.457177	0.232863
0.030000	1.374681	325.790528	0.226791	-1.854595	367.086923	0.232624
0.040000	1.388499	325.743635	0.226750	-1.902056	366.962874	0.232420
0.050000	1.413034	325.793297	0.226708	-2.004164	367.012620	0.232234
0.060000	1.440565	325.889775	0.226676	-2.141033	367.122926	0.232054
0.070000	1.460032	325.990441	0.226658	-2.286237	367.191259	0.231879
0.080000	1.459941	326.073500	0.226651	-2.414945	367.165426	0.231722
0.090000	1.432128	326.141279	0.226643	-2.510737	367.053123	0.231606
0.100000	1.375201	326.215097	0.226622	-2.568808	366.899937	0.231544
0.110000	1.296348	326.323685	0.226584	-2.594860	366.751584	0.231530
0.120000	1.210586	326.487714	0.226536	-2.600719	366.623600	0.231542
0.130000	1.137367	326.706072	0.226495	-2.598913	366.495017	0.231546
0.140000	1.095399	326.951869	0.226481	-2.598346	366.326958	0.231519
0.150000	1.097310	327.183230	0.226507	-2.602142	366.092823	0.231451
0.160000	1.145951	327.365469	0.226576	-2.607660	365.801934	0.231358
0.170000	1.233685	327.492455	0.226683	-2.608191	365.503839	0.231267
0.180000	1.344846	327.593066	0.226812	-2.595795	365.270956	0.231208
0.190000	1.460315	327.716606	0.226944	-2.564605	365.167360	0.231198
0.200000	1.562306	327.904649	0.227053	-2.513629	365.217811	0.231234
0.210000	1.637743	328.166275	0.227116	-2.447785	365.391972	0.231298
0.220000	1.679675	328.471633	0.227121	-2.376420	365.613134	0.231358
0.230000	1.687293	328.766383	0.227076	-2.310031	365.789325	0.231386
0.240000	1.665417	328.996236	0.227010	-2.257393	365.852260	0.231366
0.250000	1.623775	329.126443	0.226961	-2.225082	365.784098	0.231304
0.260000	1.575695	329.147551	0.226956	-2.218900	365.618194	0.231222
0.270000	1.535656	329.069483	0.227002	-2.244171	365.415021	0.231149
0.280000	1.515605	328.912601	0.227081	-2.302339	365.228397	0.231107
0.290000	1.520832	328.703151	0.227160	-2.385220	365.081082	0.231101
0.300000	1.547062	328.474021	0.227212	-2.472104	364.961227	0.231121
0.310000	1.580644	328.265952	0.227231	-2.534465	364.838325	0.231148
0.320000	1.602777	328.123696	0.227225	-2.547850	364.687556	0.231163
0.330000	1.596767	328.086300	0.227217	-2.504804	364.508981	0.231159
0.340000	1.555382	328.176342	0.227223	-2.421039	364.331878	0.231139
