time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.870000	7.506469	518.517029	0.221184	-9.391052	439.766602	0.183420
0.880000	7.712655	516.627625	0.220797	-9.748976	439.425110	0.181947
0.890000	7.163592	516.185974	0.220458	-10.621448	440.441132	0.180731
0.900000	7.153007	514.715088	0.220069	-10.732862	441.095245	0.179498
0.910000	6.884688	514.335388	0.219719	-11.252793	442.222076	0.178373
0.920000	6.524783	513.816956	0.219342	-11.822779	443.421661	0.177520
0.930000	6.657331	513.522827	0.219046	-12.154868	443.975525	0.176975
0.940000	6.556999	513.786133	0.218789	-12.660266	444.662445	0.176679
0.950000	6.517879	512.899719	0.218443	-12.505256	444.055664	0.176602
0.960000	6.285460	514.147644	0.218343	-12.585453	444.434753	0.176918
0.970000	6.477839	513.966980	0.218059	-11.973484	443.327789	0.177041
0.980000	6.347591	514.865295	0.217796	-11.591340	442.561188	0.177347
0.990000	6.271192	516.274109	0.217605	-11.275399	442.114227	0.177690
1.000000	6.382569	517.366882	0.217430	-10.755468	441.000519	0.177874
1.010000	6.354955	518.561279	0.217164	-10.423379	440.180359	0.178035
1.020000	6.486583	519.947144	0.216900	-9.885148	438.709198	0.178162
1.030000	6.176843	523.018555	0.216811	-9.698383	438.713593	0.178497
1.040000	6.417547	524.846191	0.216659	-9.223663	437.232025	0.178509
1.050000	6.560221	526.801025	0.216530	-8.666594	436.447418	0.178721
1.060000	6.769169	528.962769	0.216567	-8.312438	435.422821	0.178784
1.070000	7.101000	530.598206	0.216506	-7.895847	433.946503	0.178765
1.080000	7.205013	532.565796	0.216519	-7.689705	433.247223	0.178851
1.090000	7.604039	533.592712	0.216405	-7.222520	431.545929	0.178592
1.100000	7.316391	535.806702	0.216317	-7.429201	431.388580	0.178447
1.110000	7.667552	536.807739	0.216235	-7.078274	430.128143	0.178048
1.120000	7.740269	537.969482	0.216049	-7.111107	429.425507	0.177593
1.130000	7.592533	539.242432	0.215893	-7.448577	428.696930	0.176940
1.140000	7.768344	539.908508	0.215688	-7.520162	427.383423	0.176259
1.150000	7.441575	540.407471	0.215499	-7.929756	426.503143	0.175508
1.160000	7.290617	539.688843	0.215276	-8.231165	424.511597	0.174575
1.170000	7.112505	540.085510	0.215209	-8.947012	424.032227	0.173982
1.180000	7.124472	538.952759	0.215088	-8.993838	422.837982	0.173458
1.190000	6.949121	537.809692	0.214916	-9.162843	422.130035	0.173291
1.200000	6.568505	537.054260	0.214861	-9.182757	421.759064	0.173366
1.210000	6.531226	535.321350	0.214706	-8.790925	421.045319	0.173437
1.220000	6.187889	534.057068	0.214629	-8.846901	421.397644	0.173537
1.230000	6.360018	531.884460	0.214567	-8.445919	421.476776	0.173441
1.240000	6.045216	531.083740	0.214584	-8.760246	423.280823	0.173362
1.250000	6.015760	529.155151	0.214452	-8.892651	424.311035	0.172996
1.260000	6.043835	527.847351	0.214395	-9.283945	425.660400	0.172703
1.270000	5.902082	527.008301	0.214408	-9.924977	427.917969	0.172373
1.280000	5.949946	525.214661	0.214350	-10.282901	429.571472	0.171993
1.290000	6.068227	524.447693	0.214456	-10.679578	431.906982	0.171806
1.300000	6.458969	522.594360	0.214552	-10.508420	433.554718	0.171604
1.310000	6.518800	522.159912	0.214678	-10.695186	436.098267	0.171538
1.320000	6.793561	520.712585	0.214781	-10.417997	437.670288	0.171337
1.330000	7.031504	519.643799	0.214888	-10.441679	439.151489	0.171092
1.340000	6.911842	519.440369	0.214961	-10.629521	441.223145	0.170861
1.350000	7.297061	518.280457	0.215012	-10.540175	442.280273	0.170468
1.360000	7.388188	517.663696	0.215212	-10.839969	444.179474	0.170029
1.370000	7.709894	516.359314	0.215161	-10.740935	445.122864	0.169499
1.380000	7.648682	516.072815	0.215245	-11.153220	447.035065	0.168969
1.390000	7.889846	514.580811	0.215222	-11.364207	447.966858	0.168187
1.400000	7.903654	513.056702	0.215113	-11.701677	448.781921	0.167364
1.410000	7.664790	512.238464	0.215119	-12.411604	450.145966	0.166491
1.420000	7.590692	510.200531	0.214981	-12.795901	450.473328	0.165531
1.430000	7.347227	508.728088	0.214937	-13.714122	451.653168	0.164622
1.440000	7.474712	506.428802	0.214820	-14.131789	452.454803	0.164055
1.450000	7.186143	505.472473	0.214884	-14.896615	454.542999	0.163972
1.460000	7.146563	503.487640	0.214838	-14.980579	455.828796	0.164119
1.470000	7.208235	501.609222	0.214846	-14.467645	457.196045	0.164631
1.480000	7.160370	500.646454	0.214901	-14.091960	459.147125	0.165436
1.490000	7.259321	498.501221	0.214877	-13.611858	460.074493	0.166242
1.500000	7.289697	496.782257	0.215027	-13.530047	462.136902	0.167257
1.510000	7.645921	494.868683	0.215157	-12.830347	463.316040	0.168406
1.520000	7.517975	493.538818	0.215412	-12.985358	465.367798	0.169594
1.530000	7.936330	491.831207	0.215608	-12.577379	466.699585	0.170842
1.540000	8.296236	490.412201	0.215800	-12.127957	467.649353	0.172128
1.550000	8.254814	490.233215	0.216080	-12.151638	469.769684	0.173685
1.560000	8.651539	489.482269	0.216253	-11.493382	470.415985	0.175310
1.570000	8.649698	489.368744	0.216449	-10.669350	472.072235	0.176925
1.580000	8.943789	488.633728	0.216605	-9.866849	472.810364	0.178206
1.590000	8.999939	489.050720	0.216837	-9.712376	474.363739	0.179648
1.600000	9.143072	488.613708	0.216943	-9.120860	475.481262	0.180825
1.610000	9.294491	488.156494	0.217027	-8.635914	476.362640	0.181896
