time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	2.709877	528.943298	0.210198	-8.068081	598.429443	0.188253
0.010000	2.408881	530.021118	0.209839	-8.879733	598.860535	0.187468
0.020000	2.123995	530.117126	0.209418	-8.248388	599.345825	0.187228
0.030000	1.915047	531.167786	0.209186	-7.570218	600.972717	0.187241
0.040000	1.883291	531.052063	0.208934	-7.291414	602.269287	0.187281
0.050000	1.927473	530.644775	0.208621	-7.041675	603.667358	0.187400
0.060000	1.574932	531.021362	0.208401	-6.911423	606.241333	0.187556
0.070000	1.626938	530.227539	0.208179	-6.807544	607.259094	0.187632
0.080000	1.581835	530.199646	0.208089	-7.235976	608.854370	0.187676
0.090000	1.763629	529.040100	0.208003	-7.033601	609.721619	0.187809
0.100000	1.789862	528.565796	0.208059	-7.206911	610.904785	0.188091
0.110000	1.838647	527.816895	0.208068	-7.043289	610.922791	0.188338
0.120000	1.846472	526.471008	0.208107	-6.910347	610.839966	0.188578
0.130000	1.591500	526.502136	0.208115	-6.994849	611.715393	0.189118
0.140000	1.606688	524.941650	0.208181	-6.516362	610.879028	0.189379
0.150000	1.468617	524.600464	0.208107	-6.501291	610.791870	0.189811
0.160000	1.401882	523.044006	0.208146	-6.266623	610.185547	0.189994
0.170000	1.271175	522.458923	0.208252	-6.354354	609.794189	0.190147
0.180000	1.086160	521.128357	0.208162	-6.378036	609.462402	0.190254
0.190000	1.250925	519.384827	0.208285	-6.358660	609.259399	0.190098
0.200000	1.047500	519.314941	0.208319	-6.759104	610.017517	0.190003
0.210000	1.179588	517.675598	0.208337	-6.829074	609.877075	0.189755
0.220000	1.177747	517.406189	0.208368	-6.953405	610.949524	0.189625
0.230000	1.293266	516.904785	0.208284	-6.942102	611.800720	0.189392
0.240000	1.292806	516.691467	0.208294	-7.364075	613.100342	0.189099
0.250000	1.291886	516.717957	0.208252	-7.210141	614.447327	0.188917
0.260000	1.568028	516.251587	0.208079	-7.220906	615.012451	0.188655
0.270000	1.137246	517.020691	0.208084	-7.790892	617.067017	0.188423
0.280000	1.261510	516.363037	0.207996	-7.789278	617.793579	0.188332
0.290000	1.089381	516.383850	0.207973	-7.807039	619.401489	0.188364
0.300000	0.969260	515.742187	0.207922	-7.650952	620.599792	0.188683
0.310000	0.960515	515.133179	0.208109	-7.422204	621.751648	0.188930
0.320000	1.055324	514.802002	0.208244	-7.293567	622.634583	0.189375
0.330000	1.282681	513.716431	0.208430	-7.095498	622.383179	0.189762
0.340000	1.132183	513.833618	0.208773	-7.263426	623.516846	0.190390
0.350000	1.310755	512.561279	0.209064	-7.049210	622.835510	0.190995
0.360000	1.354938	511.516663	0.209518	-6.937796	623.292358	0.191767
0.370000	1.603466	510.617950	0.209954	-6.665990	623.369202	0.192681
0.380000	1.791243	509.531311	0.210441	-6.193423	623.852478	0.193631
0.390000	1.865341	508.959045	0.210980	-5.828502	624.311951	0.194659
0.400000	2.245497	507.514740	0.211577	-5.142258	624.231628	0.195493
0.410000	2.195791	507.565338	0.212142	-5.020618	626.211121	0.196403
0.420000	2.468712	506.107941	0.212679	-4.682071	626.524963	0.197061
0.430000	2.714479	504.870483	0.213332	-4.496919	627.603577	0.197636
0.440000	2.742553	503.228699	0.213938	-4.403805	628.837341	0.198089
0.450000	3.063339	501.521454	0.214467	-4.371511	629.193054	0.198434
0.460000	3.146181	500.006622	0.215062	-4.439329	630.540466	0.198703
0.470000	3.339941	497.469391	0.215620	-4.296159	630.522034	0.198783
0.480000	3.165972	496.540985	0.216187	-4.599721	632.251038	0.198878
0.490000	3.687420	494.897888	0.216780	-4.537287	632.658203	0.198886
0.500000	4.025695	494.381195	0.217279	-4.623942	634.267456	0.198832
0.510000	3.979671	494.034210	0.217641	-4.752579	636.441040	0.198886
0.520000	4.205647	494.345825	0.218079	-4.473237	637.578064	0.198972
0.530000	4.442669	495.061859	0.218452	-4.596492	639.915405	0.199130
0.540000	4.590406	494.996857	0.218868	-4.298312	640.268250	0.199170
0.550000	4.551746	496.105286	0.219162	-4.308538	641.777466	0.199456
0.560000	4.958595	496.369537	0.219554	-4.081405	641.566834	0.199496
0.570000	4.988971	496.386810	0.219752	-3.919397	641.373413	0.199512
0.580000	5.083780	497.280151	0.220171	-4.226727	641.368591	0.199440
0.590000	5.375570	497.183716	0.220367	-4.170213	640.468323	0.199234
0.600000	5.365445	498.032410	0.220600	-4.393579	639.828796	0.199128
0.610000	5.684390	498.142517	0.220814	-4.238568	638.266479	0.198998
0.620000	5.609371	499.220337	0.221094	-4.527060	637.997009	0.198996
0.630000	5.596024	498.961517	0.221229	-4.412417	636.769287	0.198902
0.640000	5.766312	499.225189	0.221439	-4.400038	635.343811	0.198877
0.650000	5.613053	499.595795	0.221762	-4.657850	635.133240	0.198878
0.660000	5.647110	499.334778	0.221886	-4.495305	633.915283	0.198933
0.670000	5.572092	499.348694	0.222224	-4.671306	633.594299	0.199019
0.680000	5.704180	498.396454	0.222417	-4.574963	633.150269	0.199040
0.690000	5.534352	498.567932	0.222629	-4.849999	633.499512	0.199107
0.700000	5.571631	497.421478	0.222834	-4.862917	633.537231	0.199218
0.710000	5.797608	497.028320	0.223039	-4.809631	633.212280	0.199319
0.720000	5.466237	496.844879	0.223243	-5.168093	634.372253	0.199433
0.730000	5.753425	495.988708	0.223441	-5.117500	634.348267	0.199453
0.740000	5.700498	495.916229	0.223576	-5.257978	635.151428	0.199525
0.750000	5.710163	495.256165	0.223537	-5.182626	635.070068	0.199524
0.760000	5.644349	495.492249	0.223680	-5.428058	636.060730	0.199475
0.770000	5.724891	495.536316	0.223630	-5.383385	636.232239	0.199363
0.780000	5.700037	495.040894	0.223574	-5.482958	636.319763	0.199101
0.790000	5.347956	496.086761	0.223404	-5.805359	637.625671	0.199010
0.800000	5.592803	495.981659	0.223222	-5.684795	637.185059	0.198781
0.810000	5.261892	496.289886	0.223052	-5.933457	637.724304	0.198535
0.820000	5.320802	496.355286	0.222753	-5.766068	637.374084	0.198316
0.830000	5.126122	496.749756	0.222678	-6.091159	637.712891	0.198054
0.840000	4.884497	497.138184	0.222351	-6.172970	637.203918	0.197822
0.850000	4.930521	496.411774	0.222203	-6.390416	636.406616	0.197360
0.860000	4.561411	497.138245	0.222084	-6.874285	636.865112	0.197133
0.870000	4.638731	496.420715	0.221963	-7.071815	636.214050	0.196735
0.880000	4.503881	496.447083	0.221933	-7.236515	636.815552	0.196661
0.890000	4.585343	495.907623	0.221928	-7.021222	637.274841	0.196634
0.900000	4.654379	495.634186	0.221952	-6.977087	637.926880	0.196641
0.910000	4.539780	495.654236	0.221845	-6.873747	638.350464	0.196755
0.920000	4.745046	495.103424	0.221783	-6.573414	637.804016	0.196829
0.930000	4.474886	495.867371	0.221929	-6.889355	638.854370	0.196938
0.940000	4.926379	495.165344	0.221810	-6.455003	638.119568	0.197146
0.950000	4.726176	494.911011	0.221950	-6.262855	638.953308	0.197341
0.960000	4.936504	494.635345	0.221929	-6.442624	638.891602	0.197466
0.970000	4.841695	494.440918	0.221950	-6.229484	639.264648	0.197688
0.980000	4.854122	494.421967	0.222178	-6.230023	639.526428	0.197847
0.990000	5.233818	493.375366	0.222161	-5.524402	639.139404	0.198044
1.000000	5.258670	492.824188	0.222251	-5.369930	639.431641	0.198190
1.010000	5.619036	492.097931	0.222241	-5.118576	639.218933	0.198208
1.020000	5.604769	491.768768	0.222217	-5.206308	639.429077	0.198210
1.030000	5.488789	491.514343	0.222188	-5.241831	639.322021	0.198224
1.040000	5.712464	491.537140	0.222172	-5.113193	638.619202	0.198185
1.050000	5.597865	491.487640	0.222053	-5.268742	638.846741	0.198047
1.060000	5.769073	491.003448	0.221951	-5.389844	637.499023	0.197705
1.070000	5.544017	492.416351	0.221786	-5.818814	637.889038	0.197647
1.080000	5.511341	492.134491	0.221514	-5.778985	637.191834	0.197368
1.090000	5.477743	492.749756	0.221351	-6.019036	636.832336	0.197165
1.100000	5.379713	493.704712	0.221129	-6.108382	636.828552	0.197029
1.110000	5.184112	494.277893	0.220800	-6.041642	636.293762	0.196939
1.120000	4.929601	495.003876	0.220604	-6.308604	636.872498	0.196823
1.130000	5.209885	495.215576	0.220365	-5.979745	635.810547	0.196798
1.140000	4.872992	496.326935	0.220206	-6.168126	636.829224	0.196753
1.150000	4.996795	496.551605	0.219945	-6.150903	635.540039	0.196618
1.160000	5.012443	497.087189	0.219670	-6.112688	634.729187	0.196573
1.170000	4.861485	497.603882	0.219459	-6.308066	634.597412	0.196507
1.180000	4.872992	497.391785	0.219226	-6.215491	634.003540	0.196331
1.190000	4.745506	498.196838	0.219064	-6.534123	634.047119	0.196154
1.200000	4.889100	497.983490	0.218778	-6.301608	632.648682	0.195902
1.210000	4.622622	499.403351	0.218494	-6.712816	632.691284	0.195763
1.220000	4.516307	499.535889	0.218102	-6.482991	631.543152	0.195608
1.230000	4.489153	499.917603	0.217728	-6.533047	630.756653	0.195325
1.240000	4.214392	500.952209	0.217506	-7.003999	631.152832	0.195016
1.250000	4.279285	501.461884	0.217303	-6.991081	630.115356	0.194732
1.260000	4.004064	502.624664	0.216980	-7.170850	630.117187	0.194590
1.270000	4.067116	502.121399	0.216686	-7.100342	629.370544	0.194311
1.280000	3.861390	502.784576	0.216679	-7.470107	629.857483	0.194208
1.290000	3.879339	502.753540	0.216515	-7.304870	628.956970	0.194093
1.300000	3.810764	502.390717	0.216301	-7.134251	628.361267	0.194190
1.310000	3.622987	502.648224	0.216303	-7.273114	629.055420	0.194249
1.320000	3.644158	502.448975	0.216205	-7.052439	628.127380	0.194312
1.330000	3.462825	502.322571	0.216280	-7.244588	628.764465	0.194484
1.340000	3.693864	502.190277	0.216417	-7.101956	628.295837	0.194674
1.350000	3.478012	502.577606	0.216490	-7.008843	629.419800	0.194987
1.360000	3.559474	502.127411	0.216700	-7.120795	629.651367	0.195220
1.370000	3.865072	501.772522	0.216937	-6.896890	629.488403	0.195624
1.380000	3.680517	502.257935	0.217181	-6.914114	630.620911	0.196241
1.390000	3.823190	501.229218	0.217362	-6.481377	630.202148	0.196705
1.400000	4.018331	501.564789	0.217764	-6.480838	630.753235	0.197306
1.410000	4.181715	501.002563	0.217967	-6.041642	630.241455	0.197978
1.420000	4.091508	501.048798	0.218306	-5.877481	630.832214	0.198582
1.430000	4.229580	501.084717	0.218715	-5.688562	630.388123	0.199232
1.440000	4.587644	501.012604	0.219041	-5.163787	629.608398	0.199901
1.450000	4.488693	501.834808	0.219417	-5.021695	630.236145	0.200616
1.460000	4.990352	501.300354	0.219862	-4.545898	629.396973	0.201123
1.470000	5.046041	501.920624	0.220363	-4.302618	629.161926	0.201658
1.480000	5.433560	502.193054	0.220702	-3.950615	627.992371	0.202090
1.490000	5.586359	502.927368	0.221072	-3.913477	627.501221	0.202435
1.500000	5.761249	503.737030	0.221356	-3.785378	626.702332	0.202619
1.510000	5.953168	504.088593	0.221436	-3.583003	625.297058	0.202678
1.520000	5.677486	505.622589	0.221691	-3.937697	625.535828	0.202782
1.530000	5.894718	505.660706	0.221918	-3.842431	624.423157	0.202621
1.540000	5.871706	506.330566	0.222137	-4.214348	624.038635	0.202438
1.550000	6.101365	506.838165	0.222265	-4.157834	623.129700	0.202461
1.560000	6.083416	507.183411	0.222411	-4.073870	623.128906	0.202368
1.570000	6.079733	507.674469	0.222602	-4.256330	623.083130	0.202342
1.580000	6.290982	507.694550	0.222636	-3.937159	622.493591	0.202333
1.590000	6.108728	508.746307	0.222772	-4.140611	623.376709	0.202513
1.600000	6.354955	508.268097	0.222862	-3.852119	622.815186	0.202452
1.610000	6.480600	508.442383	0.223013	-3.817134	622.843079	0.202420
1.620000	6.580932	508.676910	0.222999	-3.802063	622.544067	0.202338
1.630000	6.519720	508.817200	0.223009	-3.948462	622.387512	0.202133
1.640000	6.477839	509.383423	0.223034	-4.193357	622.837463	0.201929
1.650000	6.634779	509.119293	0.222965	-4.143301	622.037781	0.201575
1.660000	6.354495	510.321838	0.222959	-4.655697	622.796448	0.201365
1.670000	6.461730	509.778259	0.222868	-4.523831	622.105530	0.201011
1.680000	6.430894	509.782623	0.222850	-4.755808	621.838501	0.200679
1.690000	6.153831	509.912506	0.222708	-4.993706	621.261353	0.200380
1.700000	6.085256	509.926636	0.222466	-4.981865	620.313599	0.200123
1.710000	5.862502	509.935303	0.222350	-5.158405	620.325012	0.199825
1.720000	5.959611	509.298981	0.222079	-5.045915	619.433105	0.199497
1.730000	5.385235	509.862427	0.221913	-5.417832	620.020142	0.199291
1.740000	5.413770	508.932739	0.221644	-5.379080	619.807678	0.198949
1.750000	5.308836	508.833221	0.221520	-5.677259	620.111877	0.198685
1.760000	5.084701	508.816864	0.221410	-5.740771	621.404785	0.198524
1.770000	5.348876	508.162415	0.221400	-5.578225	622.006653	0.198293
