time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	10.857456	224.257965	0.245476	-13.839529	429.866638	0.186452
0.010000	11.114729	223.519562	0.245432	-13.791089	429.554504	0.186894
0.020000	11.058120	223.393875	0.245680	-13.963861	429.969177	0.187563
0.030000	10.988624	223.259476	0.245626	-13.917034	429.446075	0.188486
0.040000	10.935697	223.146896	0.245731	-13.778171	428.635315	0.189591
0.050000	10.995527	223.183502	0.245792	-13.523050	427.647919	0.190951
0.060000	11.169957	222.822311	0.245937	-12.534859	426.190186	0.192146
0.070000	10.849172	223.893600	0.245846	-12.369083	425.877563	0.193315
0.080000	10.970215	223.870468	0.245651	-11.745274	424.764099	0.194101
0.090000	10.801767	224.490967	0.245541	-11.563352	424.362061	0.194516
0.100000	10.652190	224.893982	0.245289	-11.743121	423.586609	0.194546
0.110000	10.574870	225.378616	0.245324	-12.103736	423.342316	0.194464
0.120000	10.502153	225.928772	0.245311	-12.165632	423.265198	0.194367
0.130000	10.793023	226.213776	0.245100	-12.021386	422.364807	0.194279
0.140000	10.579013	227.614838	0.245232	-12.329792	422.804596	0.194075
0.150000	10.795324	228.217667	0.244976	-12.053142	422.376373	0.193864
0.160000	10.672901	229.433044	0.244843	-12.345940	421.941986	0.193348
0.170000	10.728129	230.100037	0.244839	-12.481035	421.820343	0.192790
0.180000	10.579013	230.975754	0.244829	-12.619360	421.737946	0.192334
0.190000	10.784739	231.547104	0.244793	-12.894935	421.699829	0.191825
0.200000	10.881848	231.531128	0.245067	-12.861564	421.127502	0.191391
0.210000	10.824319	232.622162	0.245198	-13.179120	421.392151	0.191435
0.220000	10.940760	232.628647	0.244993	-12.807741	419.898193	0.191386
0.230000	10.856996	233.253738	0.245132	-12.862641	419.344025	0.191275
0.240000	11.013937	233.687149	0.245057	-12.813124	417.871216	0.190982
0.250000	11.003812	234.624771	0.244940	-13.248014	416.774139	0.190516
0.260000	10.857917	235.412949	0.244780	-13.553729	416.088928	0.190080
0.270000	10.933395	235.980621	0.244723	-13.312064	415.254456	0.189797
0.280000	10.550939	237.571594	0.244461	-13.500982	415.416595	0.189750
