time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	6.299174	421.109476	0.236598	-4.863600	386.354182	0.234970
0.010000	6.337978	421.267165	0.236591	-4.839990	386.318673	0.235074
0.020000	6.367341	421.421380	0.236589	-4.811413	386.298000	0.235179
0.030000	6.380102	421.553286	0.236592	-4.774513	386.298820	0.235280
0.040000	6.373367	421.627133	0.236588	-4.729176	386.316903	0.235361
0.050000	6.348695	421.606359	0.236563	-4.680648	386.338530	0.235404
0.060000	6.310965	421.477119	0.236508	-4.640452	386.345542	0.235394
0.070000	6.266559	421.263303	0.236423	-4.624257	386.321211	0.235326
0.080000	6.221511	421.022792	0.236317	-4.646208	386.254377	0.235204
0.090000	6.180093	420.826795	0.236201	-4.711897	386.140820	0.235042
0.100000	6.143920	420.733461	0.236081	-4.814097	385.982217	0.234852
0.110000	6.111447	420.768204	0.235954	-4.934555	385.783874	0.234647
0.120000	6.077746	420.918106	0.235806	-5.051583	385.552827	0.234439
0.130000	6.034803	421.141111	0.235620	-5.149205	385.297615	0.234238
0.140000	5.972928	421.385469	0.235385	-5.222415	385.029726	0.234056
0.150000	5.883808	421.611559	0.235103	-5.275763	384.764798	0.233901
0.160000	5.764746	421.807278	0.234793	-5.317074	384.521041	0.233776
0.170000	5.622295	421.990419	0.234488	-5.350964	384.313963	0.233679
0.180000	5.472834	422.196749	0.234224	-5.376197	384.149515	0.233600
0.190000	5.338625	422.458730	0.234030	-5.387753	384.019913	0.233525
0.200000	5.240252	422.784192	0.233915	-5.381623	383.905845	0.233440
0.210000	5.188711	423.144463	0.233870	-5.359105	383.785679	0.233337
0.220000	5.181065	423.477267	0.233870	-5.328066	383.648043	0.233212
0.230000	5.202035	423.703338	0.233884	-5.300402	383.501477	0.233071
0.240000	5.230821	423.750572	0.233887	-5.287087	383.375733	0.232921
0.250000	5.249807	423.577423	0.233862	-5.293544	383.313531	0.232774
0.260000	5.251025	423.187965	0.233807	-5.317675	383.356365	0.232636
0.270000	5.237701	422.633439	0.233723	-5.351258	383.530463	0.232514
0.280000	5.220824	421.998823	0.233623	-5.383831	383.838202	0.232407
0.290000	5.212954	421.377735	0.233517	-5.407319	384.257765	0.232311
0.300000	5.222416	420.843724	0.233419	-5.419438	384.750710	0.232219
0.310000	5.250355	420.428544	0.233341	-5.424223	385.274242	0.232126
0.320000	5.291501	420.116582	0.233288	-5.429274	385.792880	0.232028
0.330000	5.337621	419.858743	0.233258	-5.441246	386.284438	0.231928
0.340000	5.381487	419.600455	0.233236	-5.462315	386.738652	0.231828
0.350000	5.419123	419.311044	0.233201	-5.489566	387.151484	0.231733
0.360000	5.449342	419.000072	0.233136	-5.517059	387.520452	0.231644
0.370000	5.471311	418.712108	0.233031	-5.538772	387.844113	0.231556
0.380000	5.482174	418.502128	0.232892	-5.551008	388.124118	0.231459
0.390000	5.476612	418.403694	0.232735	-5.554125	388.365767	0.231339
0.400000	5.448903	418.406005	0.232579	-5.553798	388.575197	0.231185
0.410000	5.396340	418.452003	0.232433	-5.561136	388.755947	0.230990
0.420000	5.322025	418.459466	0.232293	-5.590274	388.909301	0.230759
0.430000	5.235327	418.355400	0.232142	-5.652936	389.039326	0.230503
0.440000	5.149524	418.106988	0.231970	-5.751815	389.157866	0.230241
0.450000	5.077548	417.734278	0.231776	-5.876547	389.283157	0.229992
0.460000	5.027860	417.299631	0.231576	-6.005641	389.430551	0.229766
0.470000	5.002495	416.880890	0.231397	-6.114712	389.601317	0.229563
0.480000	4.998211	416.542208	0.231259	-6.187336	389.778693	0.229376
0.490000	5.009874	416.315213	0.231170	-6.222663	389.935808	0.229198
0.500000	5.033872	416.195526	0.231118	-6.235114	390.051138	0.229029
0.510000	5.069415	416.151503	0.231084	-6.245771	390.120979	0.228880
0.520000	5.116935	416.138311	0.231049	-6.269972	390.160293	0.228764
0.530000	5.174727	416.112011	0.231010	-6.308212	390.191708	0.228688
0.540000	5.236170	416.041544	0.230973	-6.345807	390.231102	0.228650
0.550000	5.289755	415.917488	0.230956	-6.361652	390.280071	0.228638
0.560000	5.322562	415.755114	0.230970	-6.340826	390.329494	0.228636
0.570000	5.325794	415.589254	0.231017	-6.283636	390.369420	0.228639
0.580000	5.299535	415.461928	0.231087	-6.206109	390.395975	0.228654
0.590000	5.253978	415.408437	0.231160	-6.132042	390.409501	0.228692
