time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	0.729303	196.274765	0.247655	1.721747	387.645416	0.246074
0.010000	0.641033	196.927673	0.248039	1.741537	387.887390	0.246217
0.020000	0.946210	196.775330	0.248294	1.921950	387.688934	0.246374
0.030000	0.747603	197.597092	0.248619	1.850614	388.505493	0.246560
0.040000	0.970969	197.263931	0.248787	1.944502	387.961853	0.246521
0.050000	0.892387	197.331573	0.249121	1.831744	388.120453	0.246569
0.060000	0.963433	197.340393	0.249081	1.827602	387.555817	0.246538
0.070000	0.911225	197.222626	0.249268	1.715764	387.463287	0.246306
0.080000	0.730379	197.259796	0.249249	1.605307	387.048401	0.246365
0.090000	1.052780	197.091522	0.249233	1.785260	386.247803	0.246381
0.100000	0.553301	197.550888	0.249289	1.600705	386.598877	0.246443
0.110000	0.798735	197.220490	0.249246	1.807812	385.724335	0.246506
0.120000	0.741144	197.522263	0.249584	1.645348	385.899719	0.246429
0.130000	0.775053	197.512650	0.249471	1.717605	385.840332	0.246356
0.140000	0.768594	197.729980	0.249618	1.346194	386.051300	0.245886
0.150000	0.843946	198.009109	0.249736	1.017124	386.297119	0.245493
0.160000	0.771823	198.119186	0.249120	1.021266	385.819611	0.245125
0.170000	0.549534	198.510086	0.249210	0.700941	386.907654	0.244828
0.180000	0.776667	198.340652	0.248875	0.852819	386.269257	0.244612
0.190000	0.565681	198.729034	0.248781	0.579439	386.258606	0.244332
0.200000	0.672789	198.586990	0.248725	0.586342	385.967011	0.244115
0.210000	0.637804	198.888809	0.248315	0.606132	385.982269	0.244101
0.220000	0.504322	199.031479	0.248236	0.574376	385.667175	0.244002
0.230000	0.711003	198.826675	0.248131	0.762613	384.912384	0.243934
0.240000	0.449961	199.467407	0.248230	0.668264	385.400269	0.243963
0.250000	0.649106	199.179443	0.247888	0.846836	384.801453	0.243776
