time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	18.140701	325.446014	0.186261	-27.869334	501.058075	0.161309
0.010000	18.297182	324.745087	0.186298	-27.692137	499.666168	0.161629
0.020000	18.101120	324.884125	0.186646	-27.905536	499.472992	0.162274
0.030000	18.217100	323.987915	0.186737	-27.483821	497.802917	0.162768
0.040000	18.382326	323.194611	0.186929	-27.222155	496.492645	0.163266
0.050000	18.145304	323.167542	0.187247	-27.784864	496.286407	0.163862
0.060000	18.354252	322.186615	0.187427	-27.226600	495.097839	0.164318
0.070000	18.548931	321.890839	0.187876	-26.850614	495.012970	0.164893
0.080000	18.796999	321.585419	0.188269	-26.634678	494.853455	0.165332
0.090000	18.951179	321.552673	0.188577	-26.495588	495.459381	0.165751
0.100000	19.068079	322.002136	0.188957	-26.308230	496.630402	0.166158
0.110000	19.449615	321.642517	0.189199	-25.772196	496.986786	0.166348
0.120000	19.358488	322.416443	0.189591	-26.316487	498.776306	0.166610
0.130000	19.572039	322.219666	0.189762	-26.082764	499.141510	0.166701
0.140000	19.833452	321.922943	0.189909	-25.713766	499.294586	0.166755
0.150000	19.686176	322.299072	0.190189	-26.133574	500.266693	0.166863
0.160000	19.853704	321.536072	0.190218	-25.937325	499.638153	0.166760
0.170000	19.828850	321.371735	0.190365	-26.086575	499.645294	0.166765
0.180000	19.827009	320.762054	0.190331	-25.977971	499.235809	0.166701
0.190000	19.767179	320.310211	0.190315	-26.047832	498.682373	0.166548
0.200000	19.677893	320.403290	0.190342	-26.272029	498.785980	0.166404
0.210000	19.683876	319.760895	0.190205	-26.394605	498.173706	0.166128
0.220000	19.349745	320.221497	0.190285	-26.961760	498.935364	0.166006
0.230000	19.437649	319.977386	0.190236	-26.956679	498.896301	0.165817
0.240000	19.496559	319.539276	0.190186	-26.977636	498.649750	0.165601
0.250000	19.239286	319.949524	0.190337	-27.539711	499.580750	0.165504
0.260000	19.392086	319.115479	0.190293	-27.442538	499.148956	0.165213
0.270000	19.429365	318.767761	0.190459	-27.676895	499.415619	0.165115
0.280000	19.338238	317.991882	0.190532	-27.690868	499.717438	0.164984
