time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	0.186478	367.596137	0.253801	-1.236872	352.606701	0.225231
0.010000	0.231636	367.423683	0.253842	-0.896011	352.441057	0.225425
0.020000	0.268056	367.274097	0.253911	-0.588465	352.272867	0.225620
0.030000	0.290429	367.171854	0.254021	-0.340940	352.102879	0.225817
0.040000	0.298324	367.139927	0.254173	-0.169547	351.940724	0.226020
0.050000	0.294753	367.192996	0.254350	-0.078369	351.806839	0.226232
0.060000	0.283845	367.328498	0.254533	-0.060425	351.728597	0.226457
0.070000	0.269717	367.520554	0.254707	-0.099877	351.729859	0.226701
0.080000	0.256864	367.722293	0.254862	-0.174655	351.817945	0.226964
0.090000	0.250537	367.878925	0.254997	-0.259495	351.975078	0.227242
0.100000	0.255442	367.947999	0.255115	-0.329809	352.159762	0.227524
0.110000	0.272902	367.917949	0.255219	-0.366274	352.318139	0.227796
0.120000	0.298658	367.814973	0.255311	-0.358954	352.400311	0.228047
0.130000	0.323708	367.693153	0.255394	-0.309279	352.375167	0.228270
0.140000	0.338586	367.611400	0.255472	-0.228759	352.239269	0.228469
0.150000	0.338742	367.608391	0.255552	-0.134805	352.018201	0.228656
0.160000	0.327499	367.688442	0.255641	-0.045145	351.760259	0.228845
0.170000	0.314394	367.825302	0.255740	0.027294	351.523418	0.229047
0.180000	0.309564	367.980425	0.255849	0.077626	351.358307	0.229267
0.190000	0.317390	368.123902	0.255960	0.109483	351.292278	0.229496
0.200000	0.333161	368.245560	0.256065	0.132301	351.320459	0.229725
0.210000	0.344979	368.350941	0.256160	0.155891	351.407639	0.229943
0.220000	0.340094	368.446735	0.256241	0.184327	351.500610	0.230145
0.230000	0.312118	368.526385	0.256308	0.212646	351.546285	0.230335
0.240000	0.264852	368.565929	0.256364	0.229247	351.508496	0.230518
0.250000	0.210404	368.533729	0.256412	0.223587	351.377139	0.230700
0.260000	0.162816	368.409431	0.256454	0.194588	351.167054	0.230884
0.270000	0.131152	368.201352	0.256498	0.153803	350.909026	0.231071
0.280000	0.116006	367.951488	0.256551	0.120535	350.638535	0.231262
0.290000	0.110945	367.724074	0.256625	0.111849	350.387493	0.231456
0.300000	0.107241	367.583542	0.256724	0.134117	350.180821	0.231657
