time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	2.305319	365.144150	0.205530	-3.573121	280.623923	0.190420
0.010000	2.267197	365.391173	0.205525	-3.237632	281.130781	0.190703
0.020000	2.240586	365.636989	0.205529	-2.947884	281.526041	0.190941
0.030000	2.232360	365.875582	0.205546	-2.734132	281.728840	0.191102
0.040000	2.242857	366.096946	0.205577	-2.604638	281.711150	0.191182
0.050000	2.266839	366.290689	0.205617	-2.550308	281.503175	0.191197
0.060000	2.296698	366.450449	0.205656	-2.554378	281.180397	0.191175
0.070000	2.325881	366.575766	0.205686	-2.599097	280.836817	0.191144
0.080000	2.350647	366.670286	0.205699	-2.666350	280.554243	0.191120
0.090000	2.369505	366.737814	0.205699	-2.735917	280.378700	0.191110
0.100000	2.381215	366.778844	0.205692	-2.787030	280.311981	0.191110
0.110000	2.383069	366.789499	0.205691	-2.804797	280.320121	0.191117
0.120000	2.370929	366.763818	0.205699	-2.787324	280.353722	0.191129
0.130000	2.341320	366.699588	0.205714	-2.747587	280.370475	0.191148
0.140000	2.294324	366.606446	0.205725	-2.707769	280.350477	0.191174
0.150000	2.235203	366.512048	0.205717	-2.689394	280.299701	0.191202
0.160000	2.173263	366.460004	0.205678	-2.705154	280.242992	0.191228
0.170000	2.118295	366.495831	0.205608	-2.756159	280.211489	0.191245
0.180000	2.076646	366.644976	0.205512	-2.834062	280.229567	0.191252
0.190000	2.049247	366.894866	0.205403	-2.924969	280.304923	0.191255
0.200000	2.032510	367.193814	0.205296	-3.012793	280.424106	0.191261
0.210000	2.021166	367.470643	0.205207	-3.081875	280.554797	0.191271
0.220000	2.011258	367.665591	0.205151	-3.119734	280.654535	0.191277
0.230000	2.001884	367.754995	0.205141	-3.119917	280.683351	0.191265
0.240000	1.995348	367.755944	0.205184	-3.083658	280.616032	0.191227
0.250000	1.996064	367.710156	0.205272	-3.019173	280.449788	0.191165
0.260000	2.008732	367.659084	0.205392	-2.938926	280.204956	0.191101
0.270000	2.036379	367.626117	0.205519	-2.856432	279.918911	0.191065
0.280000	2.078977	367.614993	0.205638	-2.783925	279.635058	0.191087
0.290000	2.133347	367.622307	0.205739	-2.730850	279.389658	0.191179
0.300000	2.194522	367.653497	0.205830	-2.702309	279.199858	0.191330
0.310000	2.257939	367.730618	0.205925	-2.697239	279.057205	0.191509
0.320000	2.321260	367.886053	0.206037	-2.707480	278.930768	0.191680
0.330000	2.384862	368.145287	0.206174	-2.719362	278.780695	0.191818
0.340000	2.450775	368.508671	0.206333	-2.718043	278.577163	0.191914
0.350000	2.520715	368.943075	0.206499	-2.692815	278.315013	0.191975
0.360000	2.594273	369.389250	0.206656	-2.640603	278.015711	0.192017
0.370000	2.668209	369.782459	0.206789	-2.566003	277.715819	0.192052
0.380000	2.737175	370.076901	0.206894	-2.478507	277.449513	0.192086
0.390000	2.795504	370.262245	0.206976	-2.389060	277.235501	0.192119
