time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	2.028082	328.796806	0.237409	-3.096944	378.105105	0.219500
0.010000	2.285896	328.270245	0.237512	-3.106409	378.815721	0.219536
0.020000	2.516368	327.761316	0.237590	-3.091738	379.515397	0.219549
0.030000	2.698648	327.272638	0.237629	-3.044013	380.194600	0.219519
0.040000	2.823094	326.787668	0.237627	-2.975354	380.847825	0.219440
0.050000	2.892697	326.276716	0.237598	-2.913541	381.475809	0.219318
0.060000	2.920889	325.713118	0.237560	-2.888601	382.086575	0.219171
0.070000	2.926214	325.092661	0.237531	-2.919038	382.692251	0.219024
0.080000	2.925341	324.446013	0.237520	-3.004588	383.299122	0.218900
0.090000	2.926939	323.834888	0.237523	-3.128021	383.893504	0.218810
0.100000	2.929344	323.329458	0.237526	-3.263740	384.433010	0.218753
0.110000	2.923725	322.975450	0.237508	-3.388455	384.854174	0.218711
0.120000	2.901522	322.768041	0.237450	-3.489138	385.098560	0.218662
0.130000	2.862152	322.649013	0.237336	-3.565142	385.145243	0.218589
0.140000	2.816358	322.531913	0.237164	-3.623917	385.029434	0.218490
0.150000	2.782839	322.343833	0.236947	-3.672870	384.833378	0.218376
0.160000	2.779577	322.062420	0.236708	-3.712471	384.653026	0.218267
0.170000	2.814263	321.729511	0.236476	-3.735643	384.559490	0.218179
0.180000	2.878787	321.435856	0.236270	-3.734788	384.576523	0.218120
0.190000	2.950757	321.285947	0.236101	-3.712065	384.683224	0.218088
0.200000	3.001502	321.359429	0.235968	-3.685020	384.834471	0.218072
0.210000	3.006904	321.683723	0.235861	-3.681670	384.982640	0.218059
0.220000	2.956143	322.225475	0.235770	-3.726018	385.088192	0.218039
0.230000	2.854711	322.901314	0.235684	-3.822085	385.118941	0.217998
0.240000	2.721043	323.603110	0.235593	-3.946659	385.047319	0.217927
0.250000	2.579165	324.228929	0.235484	-4.056548	384.854205	0.217818
0.260000	2.451065	324.708532	0.235351	-4.107876	384.538554	0.217673
0.270000	2.351702	325.014303	0.235194	-4.077961	384.123545	0.217506
0.280000	2.287459	325.155851	0.235027	-3.978443	383.650742	0.217344
0.290000	2.257116	325.165427	0.234878	-3.852498	383.163542	0.217217
0.300000	2.253989	325.085006	0.234777	-3.756973	382.690800	0.217149
0.310000	2.268418	324.961330	0.234749	-3.737808	382.241915	0.217146
0.320000	2.290284	324.846623	0.234804	-3.810225	381.815534	0.217203
0.330000	2.311156	324.797532	0.234929	-3.952327	381.413553	0.217300
0.340000	2.325390	324.867328	0.235094	-4.114065	381.048956	0.217418
0.350000	2.329781	325.093246	0.235264	-4.236787	380.741741	0.217542
0.360000	2.322317	325.485680	0.235411	-4.274931	380.506399	0.217661
0.370000	2.301353	326.024914	0.235523	-4.211547	380.340263	0.217768
0.380000	2.266361	326.665879	0.235605	-4.062284	380.220976	0.217859
0.390000	2.220161	327.347124	0.235672	-3.866971	380.114675	0.217934
0.400000	2.171043	328.000333	0.235738	-3.672808	379.988919	0.217999
0.410000	2.132499	328.559999	0.235812	-3.516612	379.821478	0.218068
0.420000	2.119177	328.975192	0.235891	-3.413844	379.600044	0.218153
0.430000	2.140063	329.223509	0.235968	-3.358445	379.315867	0.218265
0.440000	2.192335	329.322385	0.236036	-3.331793	378.959425	0.218409
0.450000	2.260051	329.329629	0.236097	-3.314443	378.524166	0.218581
0.460000	2.319699	329.327655	0.236160	-3.293759	378.016771	0.218775
0.470000	2.350616	329.394343	0.236241	-3.264351	377.465830	0.218982
0.480000	2.344893	329.572486	0.236351	-3.223738	376.920883	0.219192
0.490000	2.311155	329.852910	0.236497	-3.168618	376.440204	0.219392
0.500000	2.269840	330.180725	0.236666	-3.095559	376.073340	0.219566
0.510000	2.242469	330.482699	0.236835	-3.005314	375.847370	0.219705
0.520000	2.240887	330.702637	0.236978	-2.906588	375.762424	0.219803
0.530000	2.262504	330.826901	0.237075	-2.815522	375.795535	0.219868
0.540000	2.294106	330.886698	0.237125	-2.750491	375.907862	0.219915
0.550000	2.321977	330.935906	0.237147	-2.724926	376.051666	0.219961
0.560000	2.342459	331.017163	0.237172	-2.741569	376.177513	0.220020
0.570000	2.366738	331.136285	0.237231	-2.790272	376.244043	0.220099
0.580000	2.416699	331.260514	0.237342	-2.849870	376.229659	0.220197
0.590000	2.513442	331.341571	0.237508	-2.893751	376.140853	0.220314
0.600000	2.664089	331.349133	0.237712	-2.898139	376.010786	0.220445
0.610000	2.853760	331.294045	0.237934	-2.850950	375.886137	0.220584
0.620000	3.047303	331.227192	0.238150	-2.757638	375.806908	0.220724
0.630000	3.200822	331.214986	0.238342	-2.640387	375.787924	0.220856
0.640000	3.278411	331.306229	0.238501	-2.529560	375.810289	0.220969
0.650000	3.266895	331.509273	0.238627	-2.450551	375.826978	0.221055
0.660000	3.181853	331.791089	0.238725	-2.412469	375.781341	0.221112
0.670000	3.061676	332.096609	0.238806	-2.404871	375.631868	0.221144
0.680000	2.951762	332.376169	0.238879	-2.404794	375.372848	0.221165
0.690000	2.885910	332.606618	0.238950	-2.390637	375.040838	0.221189
0.700000	2.873778	332.797258	0.239017	-2.355321	374.702447	0.221233
0.710000	2.900301	332.980391	0.239073	-2.311157	374.427785	0.221301
0.720000	2.936525	333.192631	0.239112	-2.283352	374.261277	0.221391
0.730000	2.955169	333.455258	0.239135	-2.295553	374.203285	0.221490
0.740000	2.942435	333.760926	0.239151	-2.355396	374.210869	0.221582
0.750000	2.900841	334.071893	0.239174	-2.447963	374.216687	0.221658
0.760000	2.843669	334.331937	0.239216	-2.540622	374.156480	0.221716
0.770000	2.785926	334.489237	0.239280	-2.596884	373.992404	0.221764
0.780000	2.737239	334.521420	0.239359	-2.592732	373.723286	0.221815
0.790000	2.699549	334.450171	0.239448	-2.528019	373.380411	0.221877
0.800000	2.669049	334.335480	0.239545	-2.427754	373.013844	0.221953
0.810000	2.639871	334.249318	0.239658	-2.332313	372.676262	0.222042
0.820000	2.607142	334.240511	0.239799	-2.280355	372.409671	0.222138
0.830000	2.568450	334.309113	0.239974	-2.291774	372.237871	0.222239
0.840000	2.524148	334.404786	0.240176	-2.358607	372.165566	0.222346
0.850000	2.477318	334.451126	0.240388	-2.448469	372.183421	0.222462
0.860000	2.433693	334.383887	0.240584	-2.519042	372.276448	0.222593
0.870000	2.400926	334.183490	0.240749	-2.536431	372.431448	0.222741
0.880000	2.386446	333.885107	0.240878	-2.488246	372.639414	0.222911
0.890000	2.393994	333.561410	0.240977	-2.385480	372.891639	0.223099
0.900000	2.420444	333.287698	0.241064	-2.253568	373.172599	0.223301
0.910000	2.455318	333.108568	0.241155	-2.118434	373.455763	0.223504
0.920000	2.484414	333.023734	0.241265	-1.994904	373.707638	0.223690
0.930000	2.496491	332.998609	0.241402	-1.882546	373.900150	0.223845
0.940000	2.489495	332.990447	0.241568	-1.769822	374.024875	0.223962
0.950000	2.472624	332.972808	0.241759	-1.643729	374.099707	0.224052
0.960000	2.462801	332.944574	0.241967	-1.499843	374.162213	0.224137
0.970000	2.477539	332.921485	0.242179	-1.347414	374.252263	0.224242
0.980000	2.527978	332.919543	0.242380	-1.206391	374.393283	0.224386
0.990000	2.615160	332.943392	0.242558	-1.097594	374.581669	0.224569
1.000000	2.730293	332.987231	0.242703	-1.031662	374.788117	0.224770
1.010000	2.857759	333.045776	0.242808	-1.003739	374.967939	0.224958
1.020000	2.979188	333.125443	0.242871	-0.997445	375.074576	0.225098
1.030000	3.077504	333.245896	0.242893	-0.995706	375.071827	0.225168
