time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	0.345529	374.660766	0.210210	-0.829321	308.840813	0.226791
0.010000	0.321211	374.750564	0.210152	-0.767120	309.610113	0.226959
0.020000	0.294376	374.764267	0.210093	-0.714131	310.261582	0.227090
0.030000	0.266886	374.638941	0.210036	-0.677986	310.723987	0.227161
0.040000	0.246267	374.336581	0.209989	-0.663715	310.994592	0.227172
0.050000	0.242347	373.852838	0.209959	-0.673296	311.131486	0.227139
0.060000	0.261450	373.220649	0.209951	-0.705619	311.222388	0.227087
0.070000	0.301737	372.506393	0.209959	-0.756678	311.347278	0.227032
0.080000	0.352521	371.797068	0.209966	-0.820117	311.551644	0.226977
0.090000	0.398005	371.179620	0.209953	-0.888305	311.839183	0.226912
0.100000	0.423441	370.717811	0.209902	-0.953772	312.183058	0.226823
0.110000	0.420521	370.435065	0.209805	-1.010433	312.547440	0.226701
0.120000	0.389523	370.310250	0.209667	-1.054051	312.908115	0.226553
0.130000	0.337697	370.287430	0.209508	-1.081881	313.262715	0.226405
0.140000	0.275367	370.294195	0.209349	-1.091963	313.626929	0.226294
0.150000	0.212071	370.260752	0.209212	-1.082702	314.019997	0.226250
0.160000	0.154445	370.134251	0.209105	-1.053067	314.447632	0.226287
0.170000	0.106117	369.886634	0.209025	-1.003358	314.891240	0.226392
0.180000	0.068696	369.516805	0.208961	-0.936252	315.309246	0.226531
0.190000	0.042647	369.048717	0.208898	-0.857806	315.651322	0.226662
0.200000	0.027437	368.526795	0.208827	-0.777901	315.880606	0.226747
0.210000	0.021189	368.009288	0.208747	-0.709462	315.993917	0.226769
0.220000	0.020584	367.559043	0.208665	-0.665924	316.028351	0.226733
0.230000	0.021555	367.231086	0.208596	-0.657282	316.047678	0.226663
0.240000	0.020735	367.058580	0.208551	-0.686071	316.113160	0.226589
0.250000	0.016908	367.041860	0.208538	-0.745065	316.254279	0.226535
0.260000	0.011562	367.146389	0.208555	-0.817907	316.456459	0.226512
0.270000	0.008160	367.312509	0.208596	-0.882723	316.672296	0.226518
0.280000	0.010631	367.474305	0.208650	-0.917953	316.847260	0.226544
0.290000	0.022014	367.580392	0.208708	-0.909058	316.942562	0.226584
0.300000	0.043770	367.608651	0.208763	-0.854203	316.943010	0.226637
0.310000	0.075482	367.569875	0.208813	-0.766457	316.850937	0.226706
0.320000	0.114421	367.499832	0.208859	-0.670578	316.676913	0.226795
0.330000	0.155016	367.443591	0.208904	-0.594500	316.436629	0.226899
0.340000	0.189029	367.438523	0.208952	-0.558607	316.154002	0.227006
0.350000	0.207321	367.502543	0.209005	-0.567737	315.862835	0.227099
0.360000	0.203198	367.631730	0.209061	-0.610055	315.600318	0.227164
0.370000	0.176017	367.807553	0.209117	-0.663545	315.393852	0.227200
0.380000	0.132927	368.009791	0.209171	-0.706747	315.250136	0.227218
0.390000	0.087148	368.228592	0.209222	-0.727936	315.154956	0.227238
0.400000	0.052881	368.469371	0.209270	-0.727921	315.084076	0.227280
0.410000	0.038977	368.748026	0.209318	-0.715576	315.016929	0.227359
