time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	10.485278	444.537323	0.196832	-12.899065	451.880554	0.185760
0.010000	10.267833	444.010071	0.196186	-13.061989	449.924652	0.185811
0.020000	9.861469	442.783661	0.195666	-13.127342	448.328796	0.185990
0.030000	10.086449	440.437653	0.195278	-12.819904	446.536316	0.186101
0.040000	9.818948	439.459625	0.195114	-12.891701	446.656494	0.186267
0.050000	9.970191	436.735046	0.194846	-12.536398	446.454559	0.186343
0.060000	9.859854	435.093903	0.194746	-12.105617	447.496948	0.186809
0.070000	9.970191	433.319641	0.194724	-11.100459	448.427795	0.187314
0.080000	9.922826	432.406464	0.194642	-10.180445	449.354828	0.187632
0.090000	9.930362	432.156769	0.194544	-9.521846	450.420136	0.187986
0.100000	10.161263	432.095673	0.194435	-8.866008	450.740753	0.188086
0.110000	9.830251	433.572723	0.194425	-8.795591	452.464630	0.188158
0.120000	10.401853	433.967194	0.194394	-8.385520	452.879822	0.187994
0.130000	10.430917	435.338593	0.194413	-8.558109	453.964752	0.187978
0.140000	10.486893	435.854919	0.194367	-8.518529	454.619812	0.188015
0.150000	10.550943	436.965149	0.194380	-8.642793	455.602722	0.188210
0.160000	10.641904	437.537415	0.194384	-8.819524	455.661682	0.188515
0.170000	10.750626	437.997498	0.194316	-8.479869	454.519226	0.188867
0.180000	10.552018	439.555054	0.194447	-8.592627	453.713226	0.189441
0.190000	10.745243	440.138886	0.194346	-8.479869	450.864288	0.189956
0.200000	10.485816	441.624664	0.194292	-8.102935	448.742065	0.190442
0.210000	10.631139	442.469147	0.194197	-7.831855	446.064545	0.190816
0.220000	10.408849	444.125824	0.194122	-8.146657	444.108612	0.191146
0.230000	10.187098	445.641113	0.193951	-8.226278	441.736572	0.191445
0.240000	10.288286	447.129333	0.193930	-8.242846	438.830109	0.191653
0.250000	10.048773	449.925629	0.194042	-8.675469	436.807007	0.191963
0.260000	10.172565	451.583923	0.193852	-8.767978	433.679657	0.192109
0.270000	9.937359	454.362793	0.193924	-9.163321	431.959930	0.192285
0.280000	10.148345	456.653259	0.193873	-9.300471	429.350830	0.192416
0.290000	9.868465	459.844177	0.193881	-9.689832	427.373962	0.192717
0.300000	9.957273	462.112946	0.193966	-9.714225	424.392212	0.193011
0.310000	10.338879	464.392456	0.194122	-9.589961	421.270813	0.193385
0.320000	10.235539	466.972778	0.194365	-9.849995	419.526276	0.193770
0.330000	10.430379	468.160400	0.194545	-9.754265	417.862457	0.194327
0.340000	10.525107	470.185974	0.194875	-9.734475	417.851807	0.195059
0.350000	10.941160	471.145599	0.195148	-9.465237	417.133728	0.195687
0.360000	10.842126	472.683655	0.195598	-9.422894	417.835114	0.196569
0.370000	11.117161	472.611328	0.196031	-9.349257	417.525116	0.197427
0.380000	11.448712	472.417908	0.196453	-9.334990	417.274933	0.198264
0.390000	11.214043	472.516327	0.196975	-9.203822	417.193420	0.199242
0.400000	11.508455	471.670136	0.197439	-9.053325	415.972229	0.200103
0.410000	11.464858	471.572510	0.197981	-9.331307	415.428925	0.200961
0.420000	11.745277	471.118164	0.198473	-9.011443	413.410309	0.201778
0.430000	11.660237	472.748962	0.199034	-8.962658	412.100861	0.202777
0.440000	11.985328	473.449799	0.199432	-8.691117	409.575165	0.203431
0.450000	12.278664	474.643707	0.199891	-8.824126	407.802643	0.203904
0.460000	12.385233	476.453156	0.200404	-9.026630	406.967377	0.204439
0.470000	12.608600	477.430450	0.200793	-8.851741	406.044037	0.204661
0.480000	12.489112	479.466522	0.201168	-8.935964	405.993866	0.204951
0.490000	12.830889	480.908630	0.201496	-8.991192	404.751923	0.204996
0.500000	12.597835	483.733246	0.201931	-9.403105	404.330750	0.205051
0.510000	12.871794	485.470032	0.202161	-9.385155	402.074036	0.205032
0.520000	12.947147	487.692047	0.202510	-9.456491	400.142578	0.205006
0.530000	12.950915	490.338593	0.202931	-9.920871	398.172882	0.204894
0.540000	13.226489	493.025848	0.203262	-10.143626	396.341888	0.204667
0.550000	13.266318	496.472443	0.203576	-10.774611	395.318878	0.204472
0.560000	13.681295	498.918152	0.203810	-11.114726	393.610748	0.204064
0.570000	13.500449	502.805084	0.204210	-11.822110	393.052032	0.203986
0.580000	13.946642	504.521454	0.204616	-11.896209	391.296936	0.203720
0.590000	14.141481	505.623230	0.205018	-11.995159	390.743317	0.203646
0.600000	14.253972	505.493500	0.205547	-12.152101	390.321503	0.203748
0.610000	14.504249	504.134064	0.206127	-11.917379	390.236206	0.204034
0.620000	14.359466	502.150238	0.206778	-11.603038	389.951660	0.204694
0.630000	14.856791	498.922180	0.207403	-10.712939	388.856812	0.205245
0.640000	14.717927	496.851746	0.208168	-10.585914	389.346680	0.205883
0.650000	15.078004	493.213226	0.208831	-10.359477	389.422852	0.206359
0.660000	15.316978	490.296722	0.209559	-10.260986	390.885956	0.206853
0.670000	15.691048	487.574982	0.210367	-9.760248	393.173981	0.207154
0.680000	15.987614	484.819885	0.211024	-9.606990	396.336426	0.207284
0.690000	16.296559	482.956390	0.211771	-9.466157	400.746765	0.207336
0.700000	16.976883	480.817902	0.212437	-9.021568	405.518066	0.207072
0.710000	16.959122	480.043060	0.213098	-9.542556	412.233551	0.206687
0.720000	17.612534	477.871216	0.213691	-9.321643	417.998627	0.206227
0.730000	17.962922	476.190826	0.214417	-9.131564	424.387177	0.205828
0.740000	18.362290	473.746979	0.214964	-9.017886	429.558594	0.205415
0.750000	18.596959	471.263519	0.215602	-8.863246	434.083221	0.205306
0.760000	18.983409	468.505768	0.216187	-8.318786	437.059143	0.205245
0.770000	19.444673	465.374542	0.216668	-7.586089	438.150665	0.205144
0.780000	19.362861	463.422150	0.217156	-7.649601	440.017639	0.204948
0.790000	19.851577	460.705292	0.217522	-7.451699	440.826813	0.204436
0.800000	19.820358	458.910675	0.217784	-7.758677	442.112793	0.203818
0.810000	19.945227	456.984589	0.217956	-7.769263	442.757507	0.202966
0.820000	19.878488	455.694336	0.217996	-8.079002	443.746155	0.202166
0.830000	19.823049	454.470795	0.217907	-8.268620	444.478760	0.201177
0.840000	19.749851	453.514038	0.217511	-8.116742	444.916138	0.200207
0.850000	19.046921	454.165070	0.217192	-8.281047	446.425171	0.199344
0.860000	19.053916	454.135162	0.216631	-8.034359	446.287292	0.198258
0.870000	18.517839	455.342316	0.215967	-8.259416	446.465424	0.197237
0.880000	18.172832	456.170593	0.215305	-8.095571	445.665771	0.196296
0.890000	17.566784	457.842255	0.214521	-7.834156	444.938721	0.195242
0.900000	17.212628	458.358337	0.213862	-7.807002	443.541748	0.193989
0.910000	16.908528	458.147064	0.213161	-7.769263	442.165833	0.192584
0.920000	16.332620	458.427979	0.212592	-8.222136	441.780487	0.191022
0.930000	16.208828	457.280334	0.212000	-8.449033	440.885590	0.189179
0.940000	15.847674	456.803864	0.211453	-9.001317	441.318512	0.187480
0.950000	15.606547	455.715057	0.210783	-9.225913	442.131927	0.185938
0.960000	14.942369	455.530853	0.210214	-9.422435	444.089203	0.184668
0.970000	14.833108	454.676117	0.209610	-9.555903	446.139618	0.183933
0.980000	14.670025	453.952087	0.209013	-9.491010	448.283508	0.183921
0.990000	14.202301	453.417755	0.208419	-8.505182	450.058411	0.184443
1.000000	14.270119	451.448029	0.207833	-7.578264	451.053833	0.185412
1.010000	13.917039	450.370453	0.207348	-7.611402	453.499023	0.187204
1.020000	13.703900	448.021423	0.206884	-6.289600	455.353638	0.189276
