time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-2.588326	340.620564	0.232980	2.628041	293.233497	0.223620
0.010000	-2.619719	341.609465	0.232944	2.510251	293.160111	0.223378
0.020000	-2.661521	342.488189	0.232847	2.392797	293.077639	0.223124
0.030000	-2.718301	343.186800	0.232649	2.277596	292.976618	0.222850
0.040000	-2.787069	343.693572	0.232347	2.168606	292.844980	0.222551
0.050000	-2.860267	344.047286	0.231971	2.070652	292.667752	0.222231
0.060000	-2.931106	344.307989	0.231570	1.987737	292.428310	0.221902
0.070000	-2.997267	344.523504	0.231196	1.922029	292.111768	0.221582
0.080000	-3.060477	344.710714	0.230887	1.873807	291.710677	0.221288
0.090000	-3.122764	344.860894	0.230662	1.841689	291.232258	0.221036
0.100000	-3.182600	344.963088	0.230519	1.822565	290.704735	0.220829
0.110000	-3.233910	345.028270	0.230450	1.811541	290.178856	0.220662
0.120000	-3.268443	345.096977	0.230437	1.802801	289.720580	0.220521
0.130000	-3.279615	345.224189	0.230459	1.791673	289.393797	0.220393
0.140000	-3.265352	345.450286	0.230492	1.776991	289.237726	0.220272
0.150000	-3.228783	345.775976	0.230508	1.762086	289.249304	0.220159
0.160000	-3.177220	346.156588	0.230483	1.753304	289.381225	0.220056
0.170000	-3.120482	346.519123	0.230403	1.756474	289.558837	0.219967
0.180000	-3.069051	346.792361	0.230274	1.773132	289.707679	0.219888
0.190000	-3.031864	346.934187	0.230121	1.798613	289.776721	0.219808
0.200000	-3.013677	346.943858	0.229978	1.823102	289.746085	0.219710
0.210000	-3.012942	346.856406	0.229878	1.835165	289.619617	0.219576
0.220000	-3.021939	346.725720	0.229838	1.826030	289.412469	0.219397
0.230000	-3.030017	346.606978	0.229856	1.792771	289.144167	0.219176
0.240000	-3.028527	346.546484	0.229911	1.739297	288.839368	0.218934
0.250000	-3.014232	346.579771	0.229972	1.675101	288.530127	0.218699
0.260000	-2.989002	346.732029	0.230011	1.612443	288.252451	0.218501
0.270000	-2.956795	347.014021	0.230013	1.562872	288.036298	0.218357
0.280000	-2.921145	347.412876	0.229979	1.533962	287.895181	0.218268
0.290000	-2.885356	347.885368	0.229922	1.527076	287.823094	0.218215
0.300000	-2.854357	348.363661	0.229858	1.536777	287.801354	0.218173
0.310000	-2.835204	348.776179	0.229802	1.552192	287.810892	0.218120
0.320000	-2.834490	349.074319	0.229761	1.560147	287.841917	0.218045
0.330000	-2.854013	349.249189	0.229737	1.549458	287.895147	0.217953
0.340000	-2.888034	349.327660	0.229730	1.515338	287.974676	0.217863
0.350000	-2.924552	349.350921	0.229740	1.462455	288.077647	0.217794
0.360000	-2.950167	349.351016	0.229764	1.405053	288.186996	0.217764
0.370000	-2.955695	349.341938	0.229803	1.363252	288.270763	0.217782
0.380000	-2.939293	349.330392	0.229858	1.356211	288.287313	0.217850
0.390000	-2.905885	349.335572	0.229934	1.394599	288.193247	0.217961
0.400000	-2.864289	349.399374	0.230032	1.475657	287.950591	0.218101
0.410000	-2.824624	349.575000	0.230153	1.583285	287.531644	0.218258
0.420000	-2.797233	349.898395	0.230290	1.693420	286.921754	0.218417
0.430000	-2.791981	350.361154	0.230426	1.782484	286.121437	0.218568
0.440000	-2.816091	350.904814	0.230545	1.835257	285.149303	0.218707
0.450000	-2.870474	351.443756	0.230636	1.848777	284.046366	0.218839
0.460000	-2.947018	351.905918	0.230703	1.830961	282.880286	0.218974
0.470000	-3.029631	352.268886	0.230764	1.795347	281.745387	0.219125
0.480000	-3.099468	352.570842	0.230844	1.755272	280.753194	0.219300
0.490000	-3.141729	352.889651	0.230969	1.720626	280.011462	0.219497
0.500000	-3.150352	353.300711	0.231151	1.698120	279.596382	0.219705
0.510000	-3.128419	353.835313	0.231385	1.693438	279.528235	0.219914
0.520000	-3.084622	354.460351	0.231652	1.712536	279.760783	0.220120
0.530000	-3.028090	355.088582	0.231930	1.760413	280.189255	0.220329
0.540000	-2.964391	355.613039	0.232199	1.838001	280.674718	0.220557
0.550000	-2.894874	355.948269	0.232447	1.939481	281.077660	0.220822
0.560000	-2.819732	356.059981	0.232673	2.052295	281.291449	0.221134
0.570000	-2.742609	355.972535	0.232880	2.160586	281.266613	0.221490
0.580000	-2.672928	355.755017	0.233071	2.250863	281.019405	0.221873
0.590000	-2.623145	355.494950	0.233251	2.317357	280.623160	0.222258
0.600000	-2.601966	355.270821	0.233420	2.364386	280.186433	0.222621
