time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	12.870542	352.249664	0.304746	-14.427964	858.144226	0.241191
0.010000	13.001376	351.911926	0.304742	-14.835734	859.275513	0.240694
0.020000	13.049642	351.841125	0.304652	-15.242584	860.616455	0.240223
0.030000	12.942943	351.810394	0.304669	-15.793027	862.243652	0.239783
0.040000	13.278284	351.002441	0.304698	-15.905785	862.652344	0.239313
0.050000	13.017253	351.360321	0.304712	-16.531246	864.744385	0.238964
0.060000	13.284634	350.523651	0.304791	-16.626976	864.934265	0.238632
0.070000	13.449128	349.796570	0.304883	-16.705677	865.143494	0.238385
0.080000	13.179840	349.853821	0.304952	-17.019558	866.451599	0.238222
0.090000	13.377361	348.879852	0.305018	-16.848810	866.131836	0.238085
0.100000	13.358943	348.598450	0.305097	-17.034746	866.671753	0.238058
0.110000	13.290351	348.023193	0.305177	-16.971233	866.228760	0.238119
0.120000	13.468817	347.752563	0.305254	-16.778854	866.093994	0.238294
0.130000	13.329092	347.638397	0.305354	-16.287781	865.741577	0.238532
0.140000	13.640932	346.913971	0.305401	-15.562449	864.256653	0.238821
0.150000	13.364659	347.287384	0.305471	-15.105433	864.506653	0.239175
0.160000	13.451668	346.538025	0.305631	-14.368594	863.041809	0.239537
0.170000	13.654905	346.033264	0.305658	-13.513934	861.958557	0.239892
0.180000	13.353861	346.212250	0.305700	-13.140682	861.905212	0.240240
0.190000	13.694282	345.501923	0.305840	-12.462753	860.565430	0.240573
0.200000	13.635216	345.400543	0.305882	-12.003437	860.100281	0.240887
0.210000	13.762873	344.939636	0.305945	-11.560690	859.128845	0.241167
0.220000	13.744455	344.743652	0.305993	-11.239444	858.635071	0.241463
0.230000	13.781292	344.536865	0.306087	-10.961461	858.276672	0.241688
0.240000	13.960394	343.765442	0.306124	-10.608000	857.020874	0.241867
0.250000	13.560273	344.492065	0.306088	-10.659546	857.773132	0.242066
0.260000	13.813682	344.034515	0.306105	-10.186422	856.652832	0.242270
0.270000	13.856235	343.902893	0.306101	-9.968270	855.884521	0.242471
0.280000	13.510734	344.356384	0.306037	-9.907979	856.122803	0.242666
0.290000	13.748266	343.924530	0.306073	-9.614348	855.223938	0.242830
0.300000	13.500572	344.119843	0.305988	-9.640581	855.398926	0.242947
0.310000	13.604095	343.845398	0.306011	-9.583512	854.674683	0.243086
0.320000	13.519627	343.922852	0.305969	-9.458788	854.454956	0.243284
0.330000	13.381807	343.898865	0.305916	-9.202436	853.988342	0.243573
0.340000	13.515816	343.389435	0.305900	-8.591702	852.533569	0.243849
0.350000	13.085209	344.007690	0.305862	-8.346856	852.846558	0.244233
0.360000	13.125856	343.410980	0.305897	-7.749928	851.274536	0.244578
0.370000	13.057265	343.160858	0.305883	-7.410734	850.355957	0.244912
0.380000	12.739073	343.404785	0.305892	-7.315005	850.114014	0.245255
0.390000	12.871813	343.001099	0.305892	-6.853387	848.762329	0.245610
0.400000	12.650157	343.286407	0.305866	-6.676656	848.380676	0.245938
0.410000	12.653968	343.079163	0.305849	-6.278091	847.216797	0.246246
0.420000	12.488204	343.343933	0.305798	-6.028183	846.767700	0.246629
0.430000	12.430409	343.546356	0.305763	-5.761245	846.037842	0.246989
0.440000	12.564418	343.182098	0.305792	-5.211722	844.507935	0.247321
0.450000	12.185891	344.021088	0.305733	-5.141306	844.924377	0.247645
0.460000	12.413260	343.785950	0.305751	-4.564630	843.571472	0.247892
0.470000	12.327521	343.940735	0.305717	-4.344176	842.771423	0.248186
0.480000	12.250672	344.646271	0.305670	-4.268237	842.469543	0.248491
0.490000	12.436125	344.704590	0.305698	-3.862768	841.011108	0.248836
0.500000	12.249402	345.382812	0.305672	-3.747709	840.561218	0.249166
0.510000	12.481219	345.513886	0.305667	-3.240068	839.312012	0.249449
0.520000	12.450097	346.130157	0.305671	-2.851168	838.964478	0.249765
0.530000	12.472961	346.532349	0.305679	-2.469631	838.212830	0.250039
0.540000	12.681914	346.549103	0.305657	-1.989604	836.963196	0.250265
0.550000	12.366898	347.495178	0.305617	-2.129516	837.548706	0.250437
0.560000	12.720020	347.286560	0.305626	-1.931614	836.458984	0.250516
0.570000	12.794963	347.455688	0.305612	-2.201773	836.300842	0.250497
0.580000	12.673657	347.969055	0.305543	-2.551093	837.041199	0.250428
0.590000	12.885784	348.011505	0.305459	-2.756359	836.907898	0.250267
0.600000	12.806395	348.521179	0.305422	-3.020535	837.857300	0.250059
0.610000	12.992483	348.551178	0.305303	-3.133293	837.998169	0.249825
0.620000	12.984862	349.111053	0.305240	-3.341320	838.968018	0.249592
0.630000	12.890865	349.384857	0.305117	-3.627127	839.638489	0.249312
0.640000	13.184286	349.302368	0.305018	-3.834234	839.643921	0.248968
0.650000	12.991212	350.301392	0.304924	-4.498355	841.659363	0.248629
0.660000	13.240176	350.085114	0.304825	-4.894159	841.697571	0.248230
0.670000	13.190002	350.314331	0.304740	-5.516860	842.798828	0.247793
0.680000	13.154436	350.707733	0.304676	-6.329638	844.305054	0.247316
0.690000	13.364659	350.574982	0.304585	-6.938992	845.097046	0.246731
0.700000	13.236367	350.962860	0.304478	-7.859925	847.147339	0.246073
0.710000	13.334808	350.748261	0.304410	-8.541996	848.208435	0.245297
0.720000	13.398319	351.273590	0.304296	-9.444521	850.598694	0.244513
0.730000	13.333537	351.319611	0.304218	-10.237048	852.399536	0.243634
0.740000	13.556462	351.277466	0.304103	-10.977570	853.911438	0.242713
0.750000	13.185557	352.240265	0.303922	-12.354598	857.266235	0.241830
0.760000	13.402764	352.015259	0.303850	-13.353312	858.824402	0.240928
0.770000	13.338620	352.411011	0.303670	-14.275626	861.207764	0.240106
0.780000	13.307500	352.980347	0.303509	-15.034097	863.300537	0.239405
0.790000	13.475168	353.129120	0.303432	-15.430361	864.549377	0.238837
0.800000	13.285904	353.906738	0.303321	-16.108290	865.971008	0.238282
0.810000	13.534233	353.816620	0.303296	-16.277657	865.406372	0.237718
0.820000	13.389427	354.291077	0.303209	-16.639402	865.828979	0.237343
