time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	1.738921	332.053563	0.217300	-1.611549	273.627359	0.213028
0.010000	1.787409	331.958099	0.217223	-1.564240	273.825639	0.212866
0.020000	1.813575	331.869034	0.217151	-1.528593	274.005586	0.212702
0.030000	1.804035	331.792165	0.217086	-1.516484	274.163887	0.212534
0.040000	1.759239	331.730928	0.217027	-1.538865	274.316631	0.212362
0.050000	1.692069	331.682164	0.216963	-1.602655	274.490353	0.212185
0.060000	1.621593	331.633797	0.216884	-1.706171	274.704093	0.212008
0.070000	1.565470	331.567619	0.216776	-1.835561	274.953743	0.211837
0.080000	1.534397	331.466410	0.216628	-1.965606	275.209348	0.211676
0.090000	1.530181	331.321011	0.216439	-2.066775	275.427984	0.211527
0.100000	1.546996	331.132958	0.216215	-2.116533	275.574900	0.211378
0.110000	1.574309	330.911865	0.215968	-2.109326	275.640585	0.211215
0.120000	1.600213	330.670757	0.215715	-2.059437	275.644327	0.211018
0.130000	1.614401	330.423300	0.215475	-1.994861	275.622962	0.210775
0.140000	1.610280	330.184085	0.215265	-1.945666	275.611862	0.210487
0.150000	1.585780	329.969797	0.215095	-1.932878	275.629290	0.210167
0.160000	1.542672	329.798463	0.214969	-1.962390	275.672676	0.209838
0.170000	1.484906	329.686500	0.214878	-2.024887	275.727592	0.209525
0.180000	1.417044	329.645984	0.214809	-2.100358	275.781759	0.209250
0.190000	1.343696	329.684369	0.214742	-2.165291	275.833372	0.209032
0.200000	1.269949	329.805829	0.214664	-2.200649	275.887908	0.208881
0.210000	1.201839	330.010770	0.214571	-2.198241	275.946788	0.208800
0.220000	1.145853	330.291382	0.214469	-2.162844	275.997586	0.208784
0.230000	1.107230	330.626028	0.214370	-2.108944	276.014077	0.208821
0.240000	1.087988	330.978879	0.214289	-2.053829	275.966930	0.208896
0.250000	1.086058	331.308703	0.214238	-2.010748	275.838691	0.208994
0.260000	1.096443	331.582977	0.214224	-1.985366	275.634626	0.209109
0.270000	1.114179	331.787482	0.214253	-1.976348	275.384227	0.209240
0.280000	1.137711	331.923513	0.214324	-1.978508	275.133268	0.209394
0.290000	1.170740	331.993956	0.214430	-1.986005	274.930191	0.209581
0.300000	1.221101	331.988437	0.214560	-1.993572	274.812089	0.209810
0.310000	1.296682	331.879237	0.214701	-1.995417	274.795023	0.210083
0.320000	1.400220	331.632786	0.214842	-1.983367	274.871451	0.210390
0.330000	1.525724	331.231347	0.214986	-1.946890	275.014884	0.210711
0.340000	1.658629	330.692913	0.215144	-1.876831	275.189711	0.211023
0.350000	1.779806	330.077967	0.215327	-1.771926	275.363119	0.211304
0.360000	1.871456	329.478430	0.215539	-1.644202	275.516038	0.211543
0.370000	1.922272	328.992429	0.215770	-1.518618	275.650068	0.211742
0.380000	1.930107	328.694113	0.215990	-1.425144	275.787228	0.211907
0.390000	1.901855	328.609226	0.216166	-1.386213	275.960538	0.212051
0.400000	1.851245	328.705259	0.216269	-1.406102	276.196995	0.212177
0.410000	1.795220	328.901011	0.216287	-1.468478	276.499208	0.212282
0.420000	1.749355	329.094183	0.216230	-1.544095	276.834941	0.212355
0.430000	1.723040	329.197849	0.216127	-1.604926	277.142341	0.212381
