time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	6.540342	339.376017	0.224690	-7.442517	307.402693	0.208470
0.010000	6.485367	338.715512	0.224630	-7.239233	307.747389	0.208410
0.020000	6.441385	338.150577	0.224578	-7.067292	308.104740	0.208362
0.030000	6.415149	337.745488	0.224538	-6.949254	308.468954	0.208329
0.040000	6.407189	337.516895	0.224512	-6.894207	308.808893	0.208307
0.050000	6.412824	337.436938	0.224497	-6.898759	309.079694	0.208284
0.060000	6.425111	337.451416	0.224490	-6.950896	309.245549	0.208250
0.070000	6.437592	337.502136	0.224490	-7.033345	309.300079	0.208203
0.080000	6.445305	337.543515	0.224496	-7.125479	309.272705	0.208150
0.090000	6.444301	337.549165	0.224506	-7.205522	309.218280	0.208102
0.100000	6.431225	337.509967	0.224520	-7.255057	309.196432	0.208067
0.110000	6.404159	337.428113	0.224532	-7.265277	309.251065	0.208049
0.120000	6.364295	337.311430	0.224537	-7.241518	309.398162	0.208041
0.130000	6.316747	337.170151	0.224532	-7.202257	309.624771	0.208033
0.140000	6.269254	337.015858	0.224510	-7.171768	309.897207	0.208013
0.150000	6.229221	336.860862	0.224470	-7.169782	310.173797	0.207975
0.160000	6.200951	336.716642	0.224406	-7.203386	310.416918	0.207920
0.170000	6.184816	336.591719	0.224314	-7.264726	310.600520	0.207852
0.180000	6.178613	336.490603	0.224197	-7.334572	310.712300	0.207781
0.190000	6.179684	336.414921	0.224063	-7.389437	310.752436	0.207712
0.200000	6.185985	336.365987	0.223934	-7.409825	310.731417	0.207649
0.210000	6.195463	336.346707	0.223834	-7.387753	310.667688	0.207594
0.220000	6.204961	336.361079	0.223784	-7.331395	310.583906	0.207547
0.230000	6.210607	336.411094	0.223795	-7.263965	310.500786	0.207514
0.240000	6.210328	336.492482	0.223861	-7.215107	310.429937	0.207505
0.250000	6.206821	336.591749	0.223967	-7.207035	310.369288	0.207527
0.260000	6.208126	336.686902	0.224096	-7.242056	310.304328	0.207590
0.270000	6.224339	336.753381	0.224232	-7.299075	310.215396	0.207693
0.280000	6.261923	336.774603	0.224368	-7.342218	310.087759	0.207831
0.290000	6.319163	336.753498	0.224500	-7.337448	309.919663	0.207997
0.300000	6.385748	336.718816	0.224624	-7.268016	309.724901	0.208185
0.310000	6.446844	336.720267	0.224735	-7.140562	309.529353	0.208393
0.320000	6.489233	336.811068	0.224825	-6.979639	309.363122	0.208623
0.330000	6.506229	337.023742	0.224886	-6.815158	309.250544	0.208876
0.340000	6.499332	337.350882	0.224913	-6.670300	309.200498	0.209144
0.350000	6.476659	337.742449	0.224908	-6.555572	309.200080	0.209415
0.360000	6.449579	338.123693	0.224883	-6.470105	309.215298	0.209669
0.370000	6.429029	338.426245	0.224855	-6.407241	309.201081	0.209886
0.380000	6.422431	338.616315	0.224843	-6.360133	309.118752	0.210055
0.390000	6.431729	338.704341	0.224862	-6.324587	308.953742	0.210171
0.400000	6.452992	338.730874	0.224921	-6.299058	308.723796	0.210242
0.410000	6.477916	338.737961	0.225012	-6.283581	308.471559	0.210280
0.420000	6.497067	338.744489	0.225115	-6.279240	308.244575	0.210299
0.430000	6.503917	338.741190	0.225207	-6.288166	308.074237	0.210307
0.440000	6.498056	338.707583	0.225270	-6.312838	307.966075	0.210311
0.450000	6.485998	338.637994	0.225300	-6.353906	307.905636	0.210311
0.460000	6.478797	338.557465	0.225309	-6.407443	307.873319	0.210314
0.470000	6.487272	338.515359	0.225319	-6.463738	307.856673	0.210327
0.480000	6.516989	338.559563	0.225351	-6.509212	307.853042	0.210364
0.490000	6.565532	338.707065	0.225417	-6.530984	307.864245	0.210432
0.500000	6.623422	338.929104	0.225513	-6.521799	307.890383	0.210533
0.510000	6.678094	339.160259	0.225623	-6.482688	307.928071	0.210660
0.520000	6.718749	339.326951	0.225724	-6.422180	307.972498	0.210793
0.530000	6.739711	339.380191	0.225796	-6.352818	308.018984	0.210907
0.540000	6.741007	339.315738	0.225827	-6.287026	308.061363	0.210980
0.550000	6.726498	339.172313	0.225817	-6.234296	308.089250	0.210997
0.560000	6.701042	339.010586	0.225778	-6.200685	308.088767	0.210956
0.570000	6.668300	338.885398	0.225726	-6.190176	308.049011	0.210874
0.580000	6.630114	338.825714	0.225675	-6.206293	307.971181	0.210775
0.590000	6.587268	338.830705	0.225631	-6.252103	307.873739	0.210688
0.600000	6.540771	338.880403	0.225593	-6.327926	307.788409	0.210634
0.610000	6.492721	338.952143	0.225553	-6.427952	307.747276	0.210620
0.620000	6.446344	339.033001	0.225502	-6.538231	307.766938	0.210636
0.630000	6.405345	339.122784	0.225441	-6.638125	307.837656	0.210664
0.640000	6.373001	339.228116	0.225374	-6.705663	307.923173	0.210684
0.650000	6.351436	339.352563	0.225314	-6.725222	307.972274	0.210684
0.660000	6.341387	339.489181	0.225275	-6.694398	307.938557	0.210665
0.670000	6.342565	339.620125	0.225266	-6.626470	307.801544	0.210632
0.680000	6.354375	339.723756	0.225285	-6.546250	307.580656	0.210594
0.690000	6.376416	339.784739	0.225326	-6.480336	307.334566	0.210557
0.700000	6.408206	339.800234	0.225374	-6.446310	307.143215	0.210519
0.710000	6.448050	339.777653	0.225417	-6.446599	307.077550	0.210480
0.720000	6.491749	339.725672	0.225443	-6.470128	307.169322	0.210440
0.730000	6.532196	339.645670	0.225445	-6.500050	307.395280	0.210399
0.740000	6.560630	339.530934	0.225418	-6.522390	307.684506	0.210358
0.750000	6.569406	339.375255	0.225362	-6.530830	307.946479	0.210315
0.760000	6.555126	339.185085	0.225285	-6.526356	308.106839	0.210269
0.770000	6.520591	338.985997	0.225204	-6.513750	308.133890	0.210225
0.780000	6.474481	338.817497	0.225141	-6.497862	308.044462	0.210199
0.790000	6.428751	338.717855	0.225116	-6.481300	307.889283	0.210211
0.800000	6.394731	338.707391	0.225140	-6.463589	307.728356	0.210286
0.810000	6.379486	338.779926	0.225210	-6.441359	307.609630	0.210439
0.820000	6.383871	338.907210	0.225307	-6.409449	307.559106	0.210669
0.830000	6.403122	339.053457	0.225414	-6.363131	307.582368	0.210959
0.840000	6.429756	339.191506	0.225514	-6.301071	307.671947	0.211280
0.850000	6.457440	339.311840	0.225601	-6.227528	307.814291	0.211604
0.860000	6.483883	339.420354	0.225679	-6.151784	307.993028	0.211909
0.870000	6.511219	339.527226	0.225752	-6.083878	308.189089	0.212188
0.880000	6.543667	339.633945	0.225824	-6.028418	308.380611	0.212445
0.890000	6.583826	339.726323	0.225895	-5.980548	308.545032	0.212690
0.900000	6.629877	339.777784	0.225959	-5.927806	308.663099	0.212927
0.910000	6.675553	339.761270	0.226012	-5.858025	308.722029	0.213153
0.920000	6.713096	339.662986	0.226053	-5.768869	308.715530	0.213364
0.930000	6.737365	339.490421	0.226078	-5.672689	308.641522	0.213552
0.940000	6.748349	339.271174	0.226087	-5.592652	308.501364	0.213715
0.950000	6.750307	339.044938	0.226074	-5.551259	308.303716	0.213849
0.960000	6.748123	338.853867	0.226036	-5.557177	308.071628	0.213954
0.970000	6.743552	338.734900	0.225973	-5.598119	307.846379	0.214030
0.980000	6.734089	338.713864	0.225894	-5.644967	307.680800	0.214078
