time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	17.131401	260.421875	0.290568	-33.107096	620.261536	0.232465
0.010000	17.072031	261.510590	0.290214	-33.182674	617.551941	0.232070
0.020000	16.684052	263.129242	0.289981	-33.890822	615.323425	0.231686
0.030000	16.501797	264.535522	0.289728	-34.441466	612.725342	0.231407
0.040000	16.430460	265.845886	0.289599	-33.977835	610.342529	0.231292
0.050000	16.267536	267.268616	0.289578	-33.506583	608.355530	0.231197
0.060000	16.513302	267.863220	0.289614	-32.893063	605.436951	0.231098
0.070000	16.340254	269.094086	0.289872	-33.020721	604.533203	0.230971
0.080000	16.631123	269.378845	0.290107	-32.737462	602.474365	0.230748
0.090000	17.024626	269.695374	0.290557	-32.718406	600.632751	0.230461
0.100000	17.324240	270.628357	0.291069	-33.197281	599.842041	0.230244
0.110000	17.915646	270.710907	0.291635	-33.008018	597.915161	0.230034
0.120000	18.163252	271.560608	0.292119	-33.201092	597.280090	0.229937
0.130000	18.695286	271.932800	0.292611	-33.045489	596.842957	0.229916
0.140000	19.060715	272.437134	0.293060	-33.020086	597.667358	0.230142
0.150000	19.066698	273.018585	0.293412	-32.639019	599.164551	0.230476
0.160000	19.346062	272.703644	0.293785	-32.014704	599.916809	0.230782
0.170000	19.257696	272.936676	0.294075	-31.935315	602.376221	0.231155
0.180000	19.383341	272.046021	0.294383	-31.452630	603.453735	0.231454
0.190000	19.516350	271.118073	0.294725	-31.044254	604.322998	0.231736
0.200000	19.494259	270.631256	0.295074	-31.208114	605.737183	0.232084
0.210000	19.777304	269.182159	0.295486	-30.722887	606.012329	0.232354
0.220000	19.778225	268.516113	0.295736	-30.394536	607.483093	0.232675
0.230000	19.977968	267.584442	0.295999	-29.786734	608.661560	0.232864
0.240000	20.088425	266.785828	0.296208	-29.777207	610.449280	0.232848
0.250000	19.899267	266.001526	0.296348	-30.416130	612.731628	0.232767
0.260000	19.936546	264.474548	0.296465	-30.549504	614.198120	0.232714
0.270000	19.535679	263.850342	0.296551	-31.154764	617.289246	0.232898
0.280000	19.381960	262.005341	0.296591	-31.020756	618.311890	0.233117
0.290000	19.176235	260.268982	0.296725	-30.597771	619.128967	0.233444
0.300000	18.875700	258.867187	0.296853	-30.616188	620.253357	0.233742
0.310000	18.857290	256.560028	0.297050	-30.141125	620.080688	0.233870
0.320000	18.693445	254.980621	0.297151	-30.379928	621.026855	0.233933
0.330000	18.605541	252.683945	0.297280	-30.244014	621.916748	0.233917
0.340000	18.374962	250.721039	0.297452	-30.465668	624.162598	0.233948
0.350000	18.188105	248.762146	0.297554	-30.686051	626.471436	0.233957
0.360000	18.251617	246.426529	0.297749	-30.477099	627.906067	0.234003
0.370000	17.818995	245.148285	0.297792	-30.754642	630.999756	0.234075
0.380000	17.871462	242.990341	0.297989	-30.515207	632.903931	0.234069
0.390000	17.742136	241.295090	0.298122	-30.568556	635.377380	0.233963
0.400000	17.570927	240.183762	0.298213	-31.049969	638.453430	0.233905
0.410000	17.634901	238.606903	0.298360	-31.315448	640.490295	0.233864
0.420000	17.363361	237.417999	0.298436	-31.763201	642.481995	0.233892
0.430000	17.399719	235.668503	0.298590	-31.659678	643.416809	0.233984
0.440000	17.102867	234.171722	0.298736	-31.843860	644.815735	0.234235
0.450000	16.955591	232.377716	0.298822	-31.406268	645.528564	0.234621
0.460000	16.898521	230.163025	0.298931	-30.313242	645.081055	0.234934
0.470000	16.425398	229.164291	0.299061	-30.440898	646.058655	0.235168
0.480000	16.544138	227.604935	0.299121	-30.379291	645.734680	0.235217
