time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-0.412351	307.632012	0.208460	0.953004	274.510645	0.211990
0.010000	-0.509529	308.385503	0.208407	0.768589	274.554755	0.211840
0.020000	-0.607310	308.985654	0.208351	0.614689	274.653262	0.211711
0.030000	-0.703704	309.314753	0.208288	0.510609	274.833502	0.211614
0.040000	-0.792490	309.320388	0.208219	0.458781	275.083013	0.211546
0.050000	-0.863616	309.026438	0.208148	0.445878	275.360269	0.211493
0.060000	-0.905810	308.523256	0.208089	0.450407	275.621319	0.211442
0.070000	-0.910538	307.938661	0.208063	0.453214	275.845704	0.211389
0.080000	-0.875557	307.397760	0.208091	0.445850	276.045871	0.211342
0.090000	-0.806394	306.984713	0.208187	0.432604	276.255628	0.211316
0.100000	-0.715100	306.720102	0.208350	0.425079	276.507074	0.211326
0.110000	-0.616915	306.562018	0.208561	0.432461	276.811652	0.211376
0.120000	-0.526216	306.429307	0.208790	0.453450	277.155918	0.211452
0.130000	-0.452957	306.236440	0.209002	0.475206	277.511536	0.211534
0.140000	-0.400408	305.925654	0.209168	0.480310	277.850704	0.211601
0.150000	-0.364639	305.484923	0.209277	0.457312	278.157554	0.211641
0.160000	-0.336131	304.947960	0.209336	0.407823	278.431227	0.211655
0.170000	-0.303552	304.380179	0.209369	0.345448	278.682283	0.211658
0.180000	-0.258757	303.858219	0.209405	0.287618	278.926612	0.211665
0.190000	-0.200963	303.449498	0.209469	0.246169	279.179835	0.211692
0.200000	-0.137858	303.195339	0.209575	0.222880	279.452746	0.211747
0.210000	-0.082574	303.099963	0.209720	0.212084	279.747375	0.211832
0.220000	-0.047716	303.128341	0.209887	0.207237	280.054390	0.211939
0.230000	-0.039334	303.215567	0.210055	0.205944	280.354126	0.212049
0.240000	-0.053896	303.286812	0.210200	0.209915	280.623065	0.212144
0.250000	-0.079747	303.281482	0.210312	0.220824	280.844588	0.212203
0.260000	-0.102160	303.171676	0.210394	0.236401	281.019216	0.212214
0.270000	-0.109269	302.966584	0.210467	0.250536	281.168537	0.212183
0.280000	-0.095918	302.700830	0.210558	0.257401	281.329630	0.212128
0.290000	-0.063817	302.412745	0.210691	0.256083	281.541741	0.212077
0.300000	-0.018487	302.123841	0.210876	0.251895	281.831152	0.212054
0.310000	0.034868	301.830176	0.211101	0.253333	282.201548	0.212067
0.320000	0.094100	301.509652	0.211335	0.266849	282.634948	0.212109
0.330000	0.159974	301.139903	0.211544	0.292707	283.103185	0.212158
0.340000	0.233414	300.715053	0.211699	0.324108	283.583895	0.212197
0.350000	0.312105	300.250823	0.211790	0.349831	284.071470	0.212223
0.360000	0.388994	299.775879	0.211831	0.359001	284.575514	0.212249
0.370000	0.454362	299.316866	0.211846	0.345766	285.106952	0.212302
0.380000	0.500879	298.888084	0.211865	0.311908	285.660421	0.212399
0.390000	0.528819	298.491869	0.211915	0.266421	286.204439	0.212544
0.400000	0.547859	298.127066	0.212009	0.222518	286.685843	0.212719
0.410000	0.573507	297.797701	0.212144	0.193387	287.045802	0.212900
0.420000	0.619383	297.515670	0.212302	0.188385	287.238531	0.213060
0.430000	0.689373	297.297176	0.212455	0.211003	287.244270	0.213183
0.440000	0.774156	297.157023	0.212573	0.259047	287.073348	0.213268
0.450000	0.854324	297.104815	0.212637	0.326377	286.762966	0.213321
0.460000	0.908703	297.144120	0.212647	0.405101	286.369489	0.213353
0.470000	0.923592	297.273384	0.212618	0.487345	285.957342	0.213377
0.480000	0.898163	297.487003	0.212575	0.566241	285.584781	0.213399
0.490000	0.843398	297.775471	0.212538	0.635965	285.288956	0.213424
0.500000	0.775474	298.123951	0.212515	0.690737	285.075976	0.213450
0.510000	0.707490	298.509593	0.212498	0.723438	284.922137	0.213470
0.520000	0.644143	298.899949	0.212471	0.725413	284.787981	0.213480
0.530000	0.582133	299.256016	0.212412	0.688964	284.639437	0.213473
0.540000	0.515694	299.541448	0.212311	0.612362	284.465042	0.213446
0.550000	0.443681	299.734560	0.212172	0.504730	284.279557	0.213397
0.560000	0.373701	299.836269	0.212016	0.387103	284.112251	0.213327
0.570000	0.320516	299.868781	0.211870	0.287523	283.987661	0.213238
0.580000	0.299399	299.865700	0.211762	0.231540	283.910919	0.213136
0.590000	0.318157	299.859567	0.211710	0.232507	283.865690	0.213036
0.600000	0.372274	299.873403	0.211712	0.286454	283.823814	0.212959
0.610000	0.445642	299.919005	0.211756	0.373885	283.758846	0.212923
0.620000	0.516339	299.999977	0.211818	0.467439	283.655306	0.212935
0.630000	0.564557	300.115386	0.211873	0.541988	283.510515	0.212986
0.640000	0.579235	300.261457	0.211898	0.583221	283.331462	0.213052
0.650000	0.560955	300.431791	0.211879	0.591612	283.130903	0.213104
0.660000	0.520377	300.618310	0.211814	0.580450	282.924654	0.213123
0.670000	0.473304	300.814052	0.211713	0.568960	282.729017	0.213111
0.680000	0.434606	301.016271	0.211600	0.573774	282.556881	0.213082
0.690000	0.413372	301.226875	0.211505	0.602815	282.413214	0.213060
0.700000	0.410830	301.448772	0.211454	0.654198	282.292795	0.213064
0.710000	0.421447	301.680165	0.211457	0.719604	282.182653	0.213099
0.720000	0.436426	301.910964	0.211502	0.789099	282.068983	0.213163
0.730000	0.448025	302.124256	0.211558	0.854339	281.945556	0.213244
0.740000	0.452672	302.302098	0.211583	0.909298	281.819493	0.213329
0.750000	0.451342	302.431908	0.211541	0.949832	281.711098	0.213403
0.760000	0.447061	302.509658	0.211416	0.973620	281.646690	0.213450
0.770000	0.441243	302.538660	0.211214	0.980670	281.646209	0.213452
0.780000	0.431440	302.525660	0.210963	0.973320	281.710276	0.213397
0.790000	0.412289	302.476952	0.210700	0.954915	281.813081	0.213277
0.800000	0.379241	302.396004	0.210464	0.927718	281.906265	0.213102
0.810000	0.332593	302.282589	0.210279	0.891642	281.934370	0.212893
0.820000	0.278849	302.133525	0.210150	0.845176	281.856435	0.212678
0.830000	0.228115	301.946400	0.210064	0.788349	281.664444	0.212481
0.840000	0.188867	301.727313	0.209993	0.725895	281.389973	0.212318
0.850000	0.163268	301.500039	0.209912	0.668065	281.095312	0.212189
0.860000	0.145844	301.309649	0.209800	0.627588	280.852055	0.212087
0.870000	0.126230	301.213623	0.209654	0.613656	280.715629	0.211996
