time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
0.000000	2.811589	333.310822	0.213856	-3.204627	560.150818	0.217595
0.010000	2.545572	334.800262	0.213571	-3.489351	560.226501	0.217358
0.020000	2.697450	335.531219	0.213389	-3.336493	559.327332	0.217042
0.030000	2.426370	336.394867	0.213196	-3.662123	559.144714	0.216775
0.040000	2.474235	336.200500	0.213031	-3.562550	557.716309	0.216549
0.050000	2.271271	337.359100	0.213021	-3.752546	557.637451	0.216486
0.060000	2.439257	337.191772	0.212961	-3.726173	556.303467	0.216371
0.070000	2.356414	337.299805	0.212892	-3.639517	555.435608	0.216320
0.080000	2.361937	337.812256	0.212957	-3.642747	554.961731	0.216331
0.090000	2.523020	337.716980	0.212945	-3.607762	554.087769	0.216193
0.100000	2.445240	338.173584	0.212898	-3.817672	554.405640	0.216099
0.110000	2.766026	337.805328	0.212986	-3.545865	553.830627	0.215930
0.120000	2.542810	338.690521	0.213166	-4.015741	555.152588	0.215839
0.130000	2.917444	338.483032	0.213206	-3.926394	555.025940	0.215801
0.140000	2.930790	338.881073	0.213351	-3.926933	555.231812	0.215868
0.150000	3.007190	339.343964	0.213509	-3.956535	555.533020	0.215988
0.160000	3.186682	339.264435	0.213738	-3.776228	555.319031	0.216187
0.170000	3.195887	339.393005	0.213970	-3.626600	555.520508	0.216428
0.180000	3.570520	338.564819	0.214093	-3.086216	554.561523	0.216626
0.190000	3.335799	338.623169	0.214278	-3.411846	555.021729	0.216851
0.200000	3.681437	337.571167	0.214486	-3.000637	554.074158	0.216957
0.210000	3.776246	337.079803	0.214491	-2.820330	553.913635	0.217009
0.220000	3.545207	336.916107	0.214609	-3.050155	553.915466	0.216994
0.230000	3.701688	336.885712	0.214756	-2.938203	553.948608	0.216940
0.240000	3.394709	337.605896	0.214665	-3.135733	554.491638	0.216838
0.250000	3.575122	337.742950	0.214621	-3.114204	553.731750	0.216641
0.260000	3.225342	339.367554	0.214642	-3.418305	554.821350	0.216522
