time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-1.485166	375.765987	0.212350	0.751629	308.092374	0.230080
0.010000	-1.437248	375.836797	0.212484	1.052066	308.475695	0.230263
0.020000	-1.396571	375.872910	0.212598	1.294779	308.850557	0.230436
0.030000	-1.370902	375.846120	0.212677	1.445130	309.205279	0.230594
0.040000	-1.367178	375.742872	0.212721	1.502257	309.524097	0.230729
0.050000	-1.388406	375.568489	0.212740	1.493509	309.790964	0.230840
0.060000	-1.430660	375.345814	0.212751	1.457191	309.996026	0.230928
0.070000	-1.482792	375.107552	0.212773	1.424106	310.141062	0.230995
0.080000	-1.530172	374.884927	0.212814	1.407485	310.240221	0.231047
0.090000	-1.561078	374.697304	0.212878	1.404845	310.315223	0.231085
0.100000	-1.572212	374.546802	0.212958	1.408019	310.387795	0.231115
0.110000	-1.569870	374.419351	0.213039	1.413333	310.473733	0.231139
0.120000	-1.565843	374.291146	0.213111	1.424921	310.581380	0.231163
0.130000	-1.570467	374.138065	0.213163	1.449680	310.714165	0.231195
0.140000	-1.587013	373.945342	0.213195	1.488623	310.874546	0.231239
0.150000	-1.610573	373.714639	0.213217	1.531945	311.066231	0.231300
0.160000	-1.631595	373.465535	0.213246	1.562156	311.292340	0.231378
0.170000	-1.641358	373.229367	0.213303	1.563598	311.549300	0.231469
0.180000	-1.635857	373.036509	0.213401	1.532019	311.819479	0.231567
0.190000	-1.616132	372.902493	0.213538	1.477847	312.068518	0.231666
0.200000	-1.585850	372.820506	0.213698	1.421168	312.252814	0.231762
0.210000	-1.548748	372.765042	0.213854	1.381760	312.337082	0.231851
0.220000	-1.508121	372.705020	0.213983	1.370390	312.314031	0.231936
0.230000	-1.468257	372.618787	0.214075	1.386090	312.214092	0.232024
0.240000	-1.435686	372.502547	0.214134	1.419867	312.097324	0.232123
0.250000	-1.418097	372.368522	0.214181	1.461402	312.030280	0.232243
0.260000	-1.420876	372.235846	0.214238	1.504378	312.060266	0.232395
0.270000	-1.443564	372.120850	0.214320	1.548178	312.200789	0.232590
0.280000	-1.479013	372.031823	0.214432	1.596563	312.434367	0.232837
0.290000	-1.516185	371.969010	0.214569	1.655364	312.728226	0.233138
0.300000	-1.544936	371.927278	0.214719	1.730646	313.052160	0.233488
0.310000	-1.559773	371.898332	0.214870	1.827390	313.388860	0.233871
0.320000	-1.560515	371.870629	0.215017	1.948046	313.732975	0.234262
0.330000	-1.550031	371.826975	0.215158	2.090806	314.081691	0.234637
0.340000	-1.531064	371.741723	0.215300	2.248272	314.423663	0.234982
0.350000	-1.504343	371.581235	0.215449	2.407480	314.733631	0.235294
0.360000	-1.468991	371.311156	0.215613	2.551745	314.977106	0.235583
0.370000	-1.424630	370.910877	0.215794	2.664056	315.124317	0.235865
0.380000	-1.373668	370.389889	0.215987	2.731265	315.167262	0.236158
0.390000	-1.322340	369.796475	0.216178	2.748119	315.131269	0.236472
0.400000	-1.279806	369.210580	0.216352	2.720029	315.074352	0.236807
0.410000	-1.255470	368.720610	0.216491	2.663517	315.072868	0.237152
0.420000	-1.255350	368.393650	0.216587	2.603607	315.197790	0.237488
0.430000	-1.278851	368.252914	0.216640	2.568199	315.489678	0.237789
0.440000	-1.317535	368.271623	0.216663	2.580412	315.941396	0.238038
0.450000	-1.357049	368.382992	0.216676	2.650958	316.495429	0.238223
0.460000	-1.382064	368.499191	0.216700	2.773309	317.057914	0.238344
0.470000	-1.382319	368.532310	0.216747	2.924335	317.525280	0.238413
0.480000	-1.356919	368.414448	0.216819	3.071440	317.814459	0.238447
0.490000	-1.314602	368.115885	0.216907	3.184205	317.886179	0.238465
0.500000	-1.269832	367.657696	0.216997	3.245510	317.753783	0.238481
0.510000	-1.236854	367.112036	0.217072	3.256483	317.475938	0.238498
0.520000	-1.224959	366.585302	0.217119	3.232646	317.137692	0.238511
0.530000	-1.237193	366.187106	0.217129	3.193819	316.827609	0.238509
0.540000	-1.272315	365.996162	0.217099	3.154088	316.618026	0.238485
0.550000	-1.327583	366.036444	0.217036	3.117653	316.552147	0.238437
0.560000	-1.399716	366.271921	0.216949	3.081980	316.638687	0.238374
0.570000	-1.483208	366.619941	0.216856	3.044799	316.853601	0.238313
0.580000	-1.567698	366.976927	0.216775	3.009468	317.148413	0.238268
0.590000	-1.637266	367.247406	0.216722	2.985054	317.463838	0.238247
0.600000	-1.673497	367.367818	0.216699	2.981490	317.745112	0.238242
0.610000	-1.661697	367.318916	0.216699	3.003364	317.953690	0.238238
0.620000	-1.597458	367.124701	0.216705	3.046423	318.071446	0.238221
0.630000	-1.490242	366.840675	0.216698	3.098730	318.098281	0.238187
0.640000	-1.362067	366.537352	0.216663	3.145454	318.048087	0.238137
0.650000	-1.241668	366.284387	0.216597	3.174457	317.947113	0.238080
0.660000	-1.156303	366.137436	0.216509	3.180076	317.833363	0.238021
0.670000	-1.123953	366.127167	0.216420	3.163834	317.751473	0.237959
0.680000	-1.148146	366.250651	0.216351	3.132252	317.739795	0.237887
0.690000	-1.216867	366.468709	0.216317	3.092912	317.813892	0.237798
0.700000	-1.306155	366.714530	0.216317	3.050680	317.956435	0.237689
0.710000	-1.387924	366.915140	0.216337	3.006195	318.121745	0.237566
0.720000	-1.439875	367.018947	0.216355	2.957725	318.254440	0.237442
0.730000	-1.453905	367.015802	0.216354	2.905190	318.312518	0.237329
0.740000	-1.439153	366.937453	0.216325	2.853288	318.282623	0.237237
0.750000	-1.417665	366.836817	0.216274	2.810959	318.180721	0.237169
0.760000	-1.414090	366.757635	0.216209	2.787028	318.040417	0.237121
0.770000	-1.444200	366.712294	0.216136	2.784743	317.897410	0.237084
0.780000	-1.508108	366.680356	0.216056	2.798736	317.778626	0.237047
0.790000	-1.591823	366.627012	0.215962	2.816270	317.699854	0.236997
0.800000	-1.675974	366.528332	0.215846	2.821956	317.669863	0.236921
0.810000	-1.746246	366.386863	0.215705	2.803538	317.695526	0.236814
0.820000	-1.799182	366.228474	0.215547	2.756262	317.782863	0.236682
0.830000	-1.840422	366.084162	0.215389	2.684440	317.932587	0.236539
0.840000	-1.877732	365.970031	0.215251	2.600042	318.133401	0.236406
0.850000	-1.914510	365.878827	0.215147	2.519167	318.358754	0.236302
0.860000	-1.948322	365.787523	0.215080	2.457693	318.571356	0.236238
0.870000	-1.974669	365.674054	0.215037	2.427161	318.735111	0.236213
0.880000	-1.992141	365.530601	0.215000	2.431415	318.829566	0.236215
0.890000	-2.004436	365.364704	0.214946	2.464351	318.860188	0.236222
0.900000	-2.017567	365.189733	0.214857	2.509798	318.859467	0.236209
0.910000	-2.034702	365.014570	0.214726	2.545072	318.877312	0.236156
0.920000	-2.053021	364.841995	0.214554	2.548829	318.962939	0.236051
0.930000	-2.065549	364.676731	0.214355	2.511008	319.143892	0.235896
0.940000	-2.067026	364.534710	0.214150	2.439813	319.410420	0.235712
0.950000	-2.059654	364.443174	0.213958	2.360607	319.713461	0.235526
0.960000	-2.054399	364.428404	0.213792	2.305627	319.979819	0.235364
0.970000	-2.066466	364.498333	0.213650	2.299170	320.139902	0.235240
0.980000	-2.107377	364.632495	0.213520	2.346205	320.155774	0.235155
0.990000	-2.178136	364.787708	0.213382	2.430523	320.035722	0.235092
1.000000	-2.267319	364.917462	0.213227	2.522874	319.828067	0.235030
1.010000	-2.355185	364.993836	0.213055	2.594041	319.598480	0.234948
1.020000	-2.421763	365.018975	0.212879	2.625818	319.404325	0.234835
1.030000	-2.454949	365.019739	0.212714	2.615146	319.279853	0.234690
1.040000	-2.454760	365.029475	0.212568	2.570965	319.236786	0.234526
1.050000	-2.432033	365.068329	0.212436	2.507201	319.273224	0.234363
1.060000	-2.402769	365.133578	0.212306	2.436673	319.379390	0.234226
1.070000	-2.381382	365.204298	0.212163	2.369260	319.535012	0.234131
1.080000	-2.376150	365.255572	0.212001	2.314203	319.703845	0.234082
1.090000	-2.388362	365.272603	0.211826	2.283079	319.835602	0.234063
1.100000	-2.414346	365.257205	0.211654	2.289140	319.879988	0.234047
1.110000	-2.448191	365.225162	0.211502	2.341373	319.806803	0.234005
1.120000	-2.483356	365.197909	0.211380	2.436149	319.619822	0.233914
1.130000	-2.512956	365.193436	0.211293	2.552396	319.355400	0.233769
1.140000	-2.530052	365.220651	0.211230	2.655254	319.066520	0.233577
1.150000	-2.529431	365.279827	0.211175	2.708409	318.801613	0.233359
1.160000	-2.510831	365.369146	0.211105	2.689663	318.589126	0.233136
1.170000	-2.481467	365.493691	0.211003	2.601463	318.433378	0.232923
1.180000	-2.455105	365.670388	0.210859	2.470254	318.319649	0.232729
1.190000	-2.446746	365.923438	0.210675	2.334547	318.222427	0.232557
1.200000	-2.465174	366.270006	0.210471	2.227862	318.112315	0.232405
1.210000	-2.507679	366.702678	0.210269	2.165321	317.961314	0.232267
1.220000	-2.560411	367.179057	0.210092	2.140203	317.748262	0.232137
1.230000	-2.604557	367.626933	0.209952	2.131042	317.464641	0.232010
1.240000	-2.625068	367.966044	0.209850	2.114364	317.118235	0.231880
1.250000	-2.617281	368.138260	0.209773	2.076044	316.732099	0.231744
1.260000	-2.588189	368.132510	0.209707	2.016135	316.338916	0.231600
1.270000	-2.552242	367.992436	0.209638	1.946176	315.973485	0.231445
1.280000	-2.524432	367.802750	0.209560	1.881724	315.665932	0.231274
1.290000	-2.514523	367.659979	0.209476	1.834354	315.436427	0.231084
1.300000	-2.525035	367.640027	0.209393	1.806704	315.290976	0.230873
1.310000	-2.553042	367.775987	0.209320	1.792180	315.218782	0.230644
1.320000	-2.593540	368.054730	0.209263	1.778819	315.192965	0.230405
1.330000	-2.641612	368.431899	0.209223	1.755142	315.176030	0.230171
1.340000	-2.692142	368.855900	0.209198	1.715217	315.129262	0.229956
1.350000	-2.738058	369.287252	0.209190	1.660884	315.022875	0.229772
1.360000	-2.769370	369.703633	0.209198	1.600630	314.843154	0.229621
1.370000	-2.774679	370.091369	0.209225	1.546083	314.594153	0.229497
1.380000	-2.744989	370.433868	0.209271	1.507761	314.293807	0.229390
1.390000	-2.677946	370.709148	0.209330	1.491615	313.966559	0.229289
1.400000	-2.580024	370.900655	0.209394	1.497441	313.635928	0.229189
1.410000	-2.465181	371.014395	0.209452	1.519629	313.320246	0.229089
1.420000	-2.350362	371.089477	0.209500	1.549939	313.032983	0.228995
1.430000	-2.250080	371.192357	0.209539	1.581095	312.786251	0.228914
1.440000	-2.172717	371.394260	0.209573	1.609443	312.593920	0.228847
1.450000	-2.119898	371.740477	0.209608	1.635186	312.470692	0.228796
1.460000	-2.088183	372.225196	0.209648	1.659861	312.425725	0.228756
1.470000	-2.071032	372.784658	0.209692	1.682385	312.452951	0.228725
1.480000	-2.059652	373.315063	0.209739	1.696179	312.523333	0.228701
1.490000	-2.043107	373.710945	0.209784	1.689848	312.585184	0.228677
1.500000	-2.009347	373.908697	0.209830	1.652207	312.576087	0.228646
1.510000	-1.948291	373.914540	0.209881	1.579698	312.444023	0.228603
1.520000	-1.856243	373.801748	0.209941	1.482014	312.169107	0.228542
1.530000	-1.739360	373.677155	0.210011	1.381610	311.775039	0.228465
1.540000	-1.613838	373.633892	0.210082	1.305683	311.323466	0.228374
1.550000	-1.501905	373.714802	0.210141	1.273861	310.893116	0.228270
1.560000	-1.424700	373.903758	0.210171	1.288263	310.553154	0.228149
1.570000	-1.394598	374.145177	0.210166	1.331936	310.341919	0.228003
1.580000	-1.410115	374.377018	0.210135	1.376690	310.257523	0.227829
1.590000	-1.455887	374.558861	0.210092	1.395583	310.260185	0.227635
1.600000	-1.508269	374.684013	0.210056	1.372963	310.282729	0.227435
1.610000	-1.544598	374.775359	0.210037	1.307593	310.246405	0.227249
1.620000	-1.552039	374.871395	0.210032	1.209371	310.080654	0.227090
1.630000	-1.531799	375.009973	0.210033	1.093456	309.743966	0.226958
1.640000	-1.496621	375.215756	0.210030	0.975500	309.239328	0.226843
1.650000	-1.462988	375.495317	0.210019	0.869250	308.616574	0.226726
1.660000	-1.442173	375.840800	0.210004	0.785535	307.958373	0.226592
1.670000	-1.434770	376.238691	0.209996	0.730951	307.354742	0.226427
1.680000	-1.431273	376.677167	0.210006	0.705568	306.876663	0.226227
1.690000	-1.418017	377.146991	0.210041	0.700737	306.558376	0.225992
1.700000	-1.384949	377.636511	0.210099	0.699371	306.391903	0.225729
1.710000	-1.330870	378.126489	0.210169	0.680608	306.331920	0.225449
1.720000	-1.263313	378.590862	0.210239	0.628357	306.307590	0.225169
1.730000	-1.193553	379.004926	0.210293	0.539964	306.238848	0.224905
1.740000	-1.130371	379.356865	0.210325	0.429759	306.054408	0.224676
1.750000	-1.076891	379.655853	0.210333	0.324327	305.707407	0.224497
1.760000	-1.032449	379.931773	0.210323	0.251227	305.184613	0.224376
